Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 002_master_chef_can X=285.163 Y=27.923 Z=124.799 P=33.323097 Y=87.097664 R=46.402225
b_r_wrist X=247.707 Y=3.669 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=249.714 Y=2.619 Z=30.844 P=29.420813 Y=145.678467 R=142.973068
b_r_thumb1 X=251.501 Y=1.399 Z=29.624 P=58.789314 Y=163.138641 R=-174.665070
b_r_thumb2 X=253.114 Y=0.910 Z=26.843 P=43.573643 Y=160.050064 R=162.662766
b_r_thumb3 X=255.415 Y=0.074 Z=24.514 P=55.680630 Y=147.059280 R=172.273239
r_thumb_finger_tip_marker X=256.584 Y=-0.793 Z=22.528 P=55.680622 Y=147.059296 R=172.273239
b_r_index1 X=257.306 Y=1.313 Z=31.268 P=11.585755 Y=-163.063278 R=99.073593
b_r_index2 X=260.860 Y=2.395 Z=30.506 P=43.899464 Y=-158.734390 R=94.836143
b_r_index3 X=262.492 Y=3.030 Z=28.821 P=70.332779 Y=10.352820 R=-104.067764
r_index_finger_tip_marker X=261.828 Y=2.963 Z=26.684 P=70.332741 Y=10.352757 R=-104.067772
b_r_middle1 X=257.271 Y=3.495 Z=31.746 P=27.271257 Y=-157.765411 R=90.848648
b_r_middle2 X=260.803 Y=4.939 Z=29.779 P=72.349792 Y=-159.609344 R=86.233757
b_r_middle3 X=261.586 Y=5.230 Z=27.153 P=68.910629 Y=-159.595825 R=76.625679
r_middle_finger_tip_marker X=262.499 Y=5.630 Z=24.861 P=68.910667 Y=-159.595886 R=76.625679
b_r_ring1 X=256.576 Y=5.414 Z=31.347 P=32.062012 Y=-150.178329 R=80.965691
b_r_ring2 X=259.444 Y=7.058 Z=29.277 P=64.234833 Y=-171.475388 R=55.678642
b_r_ring3 X=260.586 Y=7.229 Z=26.884 P=67.856277 Y=148.395584 R=17.585711
r_ring_finger_tip_marker X=261.470 Y=6.874 Z=24.640 P=67.856247 Y=148.395554 R=17.585701
b_r_pinky0 X=251.115 Y=5.968 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=255.497 Y=7.173 Z=30.631 P=37.887577 Y=-170.525055 R=84.746162
b_r_pinky2 X=257.888 Y=7.572 Z=28.744 P=75.554344 Y=-177.221161 R=64.767586
b_r_pinky3 X=258.394 Y=7.597 Z=26.777 P=72.958817 Y=113.157120 R=-1.643006
r_pinky_finger_tip_marker X=258.767 Y=7.036 Z=24.687 P=72.958817 Y=113.157120 R=-1.643005
