Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 002_master_chef_can X=285.217 Y=20.327 Z=119.827 P=18.187809 Y=-35.008854 R=-12.530125
b_r_wrist X=247.707 Y=3.669 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=249.714 Y=2.619 Z=30.844 P=28.615479 Y=144.481293 R=141.891434
b_r_thumb1 X=251.489 Y=1.352 Z=29.654 P=31.624075 Y=159.562653 R=-179.954056
b_r_thumb2 X=254.084 Y=0.385 Z=27.949 P=23.905169 Y=-169.394272 R=172.858002
b_r_thumb3 X=257.120 Y=0.953 Z=26.580 P=36.295177 Y=-167.522308 R=-166.450516
r_thumb_finger_tip_marker X=259.104 Y=1.274 Z=25.157 P=36.295181 Y=-167.522293 R=-166.450531
b_r_index1 X=257.306 Y=1.313 Z=31.268 P=6.737961 Y=-177.993973 R=96.963409
b_r_index2 X=261.070 Y=1.444 Z=30.823 P=14.481960 Y=-176.140900 R=91.289993
b_r_index3 X=263.418 Y=1.603 Z=30.215 P=0.254035 Y=-169.902634 R=88.318001
r_index_finger_tip_marker X=265.615 Y=2.027 Z=30.307 P=0.254035 Y=-169.902618 R=88.318001
b_r_middle1 X=257.271 Y=3.495 Z=31.746 P=15.612835 Y=-165.860977 R=89.522751
b_r_middle2 X=261.281 Y=4.505 Z=30.590 P=32.031517 Y=-165.761200 R=86.807518
b_r_middle3 X=263.544 Y=5.079 Z=29.129 P=15.117141 Y=-162.822220 R=79.630821
r_middle_finger_tip_marker X=265.858 Y=5.848 Z=28.581 P=15.117147 Y=-162.822235 R=79.630821
b_r_ring1 X=256.576 Y=5.414 Z=31.347 P=15.433119 Y=-153.977203 R=80.617386
b_r_ring2 X=259.954 Y=7.063 Z=30.309 P=30.100607 Y=-158.348572 R=70.799850
b_r_ring3 X=262.091 Y=7.912 Z=28.976 P=43.018368 Y=-175.076721 R=59.524643
r_ring_finger_tip_marker X=263.940 Y=8.175 Z=27.409 P=43.018360 Y=-175.076752 R=59.524643
b_r_pinky0 X=251.115 Y=5.968 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=255.497 Y=7.173 Z=30.631 P=18.833714 Y=-169.379181 R=86.384682
b_r_pinky2 X=258.355 Y=7.709 Z=29.639 P=36.904987 Y=-162.853516 R=78.191765
b_r_pinky3 X=259.907 Y=8.188 Z=28.419 P=30.259525 Y=-174.734329 R=71.829605
r_pinky_finger_tip_marker X=261.853 Y=8.382 Z=27.421 P=30.259525 Y=-174.734344 R=71.829582
