Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 002_master_chef_can X=271.131 Y=18.527 Z=117.831 P=33.256969 Y=-82.980415 R=4.448475
b_r_wrist X=247.707 Y=3.669 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=249.714 Y=2.619 Z=30.844 P=35.768246 Y=157.971329 R=154.242188
b_r_thumb1 X=251.583 Y=1.863 Z=29.392 P=45.145966 Y=178.044113 R=-162.350677
b_r_thumb2 X=253.875 Y=1.784 Z=27.087 P=31.149158 Y=-179.012985 R=178.800552
b_r_thumb3 X=256.766 Y=1.834 Z=25.339 P=47.461147 Y=154.250778 R=-179.301590
r_thumb_finger_tip_marker X=258.263 Y=0.998 Z=23.571 P=47.461178 Y=154.250793 R=-179.301590
b_r_index1 X=257.306 Y=1.313 Z=31.268 P=-2.404465 Y=179.295914 R=96.391792
b_r_index2 X=261.095 Y=1.266 Z=31.427 P=3.656562 Y=-178.992035 R=90.416565
b_r_index3 X=263.520 Y=1.309 Z=31.272 P=58.201717 Y=-177.606995 R=85.365547
r_index_finger_tip_marker X=264.781 Y=1.399 Z=29.424 P=58.201706 Y=-177.606964 R=85.365562
b_r_middle1 X=257.271 Y=3.495 Z=31.746 P=8.095379 Y=-167.098450 R=89.299950
b_r_middle2 X=261.414 Y=4.444 Z=31.141 P=13.854860 Y=-166.418991 R=86.789444
b_r_middle3 X=264.014 Y=5.072 Z=30.481 P=59.575584 Y=168.607147 R=55.760372
r_middle_finger_tip_marker X=265.336 Y=4.897 Z=28.367 P=59.575569 Y=168.607117 R=55.760345
b_r_ring1 X=256.576 Y=5.414 Z=31.347 P=5.825557 Y=-155.646332 R=80.213448
b_r_ring2 X=260.111 Y=7.014 Z=30.951 P=14.169158 Y=-157.585510 R=71.957382
b_r_ring3 X=262.493 Y=7.996 Z=30.301 P=62.003162 Y=150.015793 R=33.171364
r_ring_finger_tip_marker X=263.607 Y=7.525 Z=28.184 P=62.003162 Y=150.015793 R=33.171360
b_r_pinky0 X=251.115 Y=5.968 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=255.497 Y=7.173 Z=30.631 P=-1.199682 Y=-165.956375 R=87.907997
b_r_pinky2 X=258.476 Y=7.919 Z=30.695 P=10.400595 Y=-158.578094 R=78.077484
b_r_pinky3 X=260.336 Y=8.648 Z=30.328 P=38.763561 Y=-179.179840 R=71.333374
r_pinky_finger_tip_marker X=262.122 Y=8.689 Z=29.052 P=38.763554 Y=-179.179840 R=71.333359
