Left
BP_PickupCubeDataset_C_0.StaticMeshComponent0 002_master_chef_can X=279.628 Y=16.460 Z=115.993 P=19.690998 Y=59.588123 R=-160.531418
b_r_wrist X=247.707 Y=3.669 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=245.700 Y=4.719 Z=30.844 P=31.440937 Y=-31.042450 R=145.952408
b_r_thumb1 X=243.883 Y=5.812 Z=29.548 P=64.933395 Y=-7.400252 R=-165.954849
b_r_thumb2 X=242.517 Y=5.990 Z=26.603 P=46.100021 Y=-31.466454 R=154.274292
b_r_thumb3 X=240.519 Y=7.213 Z=24.168 P=57.559273 Y=-42.304340 R=165.364899
r_thumb_finger_tip_marker X=239.542 Y=8.213 Z=22.141 P=57.559273 Y=-42.304321 R=165.364899
b_r_index1 X=238.108 Y=6.025 Z=31.268 P=14.991834 Y=10.832366 R=98.497322
b_r_index2 X=234.509 Y=5.337 Z=30.287 P=49.404854 Y=15.223623 R=94.583160
b_r_index3 X=232.983 Y=4.922 Z=28.442 P=80.768250 Y=49.327522 R=121.670441
r_index_finger_tip_marker X=232.662 Y=4.591 Z=26.251 P=80.768173 Y=49.327583 R=121.670471
b_r_middle1 X=238.142 Y=3.843 Z=31.746 P=30.909063 Y=19.066240 R=90.374847
b_r_middle2 X=234.661 Y=2.640 Z=29.540 P=81.804977 Y=11.106256 R=79.868523
b_r_middle3 X=234.276 Y=2.564 Z=26.814 P=84.695694 Y=-11.906845 R=46.734852
r_middle_finger_tip_marker X=233.969 Y=2.526 Z=24.334 P=84.695694 Y=-11.906982 R=46.734684
b_r_ring1 X=238.837 Y=1.924 Z=31.347 P=31.957428 Y=23.400272 R=79.592545
b_r_ring2 X=235.801 Y=0.610 Z=29.283 P=65.927673 Y=-3.475072 R=49.464527
b_r_ring3 X=234.719 Y=0.675 Z=26.857 P=67.486961 Y=-46.743229 R=8.260712
r_ring_finger_tip_marker X=233.963 Y=1.241 Z=24.609 P=67.486954 Y=-46.743248 R=8.260713
b_r_pinky0 X=244.299 Y=1.370 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=239.917 Y=0.165 Z=30.631 P=31.280230 Y=8.233783 R=85.121521
b_r_pinky2 X=237.318 Y=-0.211 Z=29.036 P=54.306087 Y=13.947968 R=77.136330
b_r_pinky3 X=236.168 Y=-0.497 Z=27.386 P=49.230587 Y=-2.531662 R=64.509567
r_pinky_finger_tip_marker X=234.646 Y=-0.460 Z=25.804 P=49.230579 Y=-2.531665 R=64.509552
