Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 003_cracker_box X=299.158 Y=5.281 Z=114.578 P=52.262672 Y=54.558628 R=10.373859
b_r_wrist X=271.154 Y=-24.155 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=273.161 Y=-25.205 Z=30.844 P=23.319139 Y=137.741913 R=135.879044
b_r_thumb1 X=274.850 Y=-26.740 Z=29.861 P=52.973709 Y=147.164551 R=171.701691
b_r_thumb2 X=276.495 Y=-27.801 Z=27.265 P=39.977177 Y=155.136154 R=156.982697
b_r_thumb3 X=278.845 Y=-28.890 Z=25.094 P=46.873714 Y=123.168343 R=153.919525
r_thumb_finger_tip_marker X=279.754 Y=-30.396 Z=23.371 P=46.873714 Y=123.168343 R=153.919510
b_r_index1 X=280.753 Y=-26.512 Z=31.268 P=10.817708 Y=-168.783813 R=98.354149
b_r_index2 X=284.408 Y=-25.787 Z=30.556 P=37.556309 Y=-165.504288 R=93.475006
b_r_index3 X=286.273 Y=-25.305 Z=29.075 P=78.498833 Y=1.594858 R=-106.953918
r_index_finger_tip_marker X=285.913 Y=-25.257 Z=26.866 P=78.498856 Y=1.594746 R=-106.954048
b_r_middle1 X=280.719 Y=-24.329 Z=31.746 P=36.725746 Y=-158.635376 R=90.816986
b_r_middle2 X=283.923 Y=-23.076 Z=29.179 P=78.694031 Y=-161.036148 R=85.592209
b_r_middle3 X=284.434 Y=-22.900 Z=26.477 P=78.530434 Y=-165.019211 R=71.758553
r_middle_finger_tip_marker X=284.990 Y=-22.684 Z=24.050 P=78.530434 Y=-165.019272 R=71.758507
b_r_ring1 X=280.024 Y=-22.410 Z=31.347 P=34.105255 Y=-155.501923 R=79.686081
b_r_ring2 X=282.962 Y=-21.071 Z=29.160 P=62.261898 Y=-174.238434 R=56.667912
b_r_ring3 X=284.193 Y=-20.947 Z=26.808 P=68.214828 Y=130.490921 R=4.465747
r_ring_finger_tip_marker X=284.894 Y=-21.519 Z=24.545 P=68.214813 Y=130.490891 R=4.465745
b_r_pinky0 X=274.562 Y=-21.856 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=278.944 Y=-20.651 Z=30.631 P=18.669897 Y=-171.190292 R=86.100945
b_r_pinky2 X=281.820 Y=-20.205 Z=29.647 P=40.746578 Y=-165.927444 R=76.937134
b_r_pinky3 X=283.313 Y=-19.831 Z=28.322 P=70.619354 Y=81.703773 R=-23.121950
r_pinky_finger_tip_marker X=283.332 Y=-20.545 Z=26.245 P=70.619354 Y=81.703773 R=-23.121969
