Left
BP_PickupCubeDataset_C_0.StaticMeshComponent0 003_cracker_box X=298.873 Y=4.361 Z=112.889 P=9.445871 Y=8.223927 R=-23.114410
b_r_wrist X=271.154 Y=-24.155 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=269.147 Y=-23.105 Z=30.844 P=19.592936 Y=-46.146767 R=132.484482
b_r_thumb1 X=267.525 Y=-21.417 Z=30.011 P=33.115330 Y=-34.885941 R=167.838196
b_r_thumb2 X=265.292 Y=-19.859 Z=28.235 P=29.666447 Y=-5.184155 R=161.804871
b_r_thumb3 X=262.367 Y=-19.594 Z=26.562 P=38.112263 Y=23.667978 R=-161.487717
r_thumb_finger_tip_marker X=260.530 Y=-20.270 Z=25.069 P=38.112274 Y=23.667992 R=-161.487732
b_r_index1 X=261.555 Y=-21.799 Z=31.268 P=0.369397 Y=-0.425118 R=96.468452
b_r_index2 X=257.762 Y=-21.771 Z=31.244 P=9.215708 Y=1.330974 R=90.586578
b_r_index3 X=255.364 Y=-21.826 Z=30.855 P=-5.652002 Y=7.804039 R=87.032341
r_index_finger_tip_marker X=253.174 Y=-22.162 Z=31.175 P=-5.651995 Y=7.804065 R=87.032341
b_r_middle1 X=261.590 Y=-23.981 Z=31.746 P=16.869364 Y=15.239299 R=89.695114
b_r_middle2 X=257.626 Y=-25.061 Z=30.500 P=38.503807 Y=15.050135 R=86.791962
b_r_middle3 X=255.544 Y=-25.621 Z=28.785 P=77.221199 Y=-61.169907 R=1.792950
r_middle_finger_tip_marker X=255.190 Y=-25.216 Z=26.344 P=77.221199 Y=-61.169956 R=1.792933
b_r_ring1 X=262.285 Y=-25.900 Z=31.347 P=24.301271 Y=28.995914 R=81.078949
b_r_ring2 X=259.176 Y=-27.623 Z=29.742 P=46.575798 Y=20.318180 R=67.593605
b_r_ring3 X=257.463 Y=-28.257 Z=27.812 P=63.785385 Y=-88.492149 R=-32.836559
r_ring_finger_tip_marker X=257.316 Y=-27.284 Z=25.582 P=63.785336 Y=-88.492104 R=-32.836514
b_r_pinky0 X=267.747 Y=-26.454 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=263.364 Y=-27.659 Z=30.631 P=26.717253 Y=26.259573 R=88.572075
b_r_pinky2 X=260.903 Y=-28.873 Z=29.250 P=65.950821 Y=26.918806 R=74.800018
b_r_pinky3 X=260.165 Y=-29.248 Z=27.395 P=61.976326 Y=2.567185 R=53.343380
r_pinky_finger_tip_marker X=259.040 Y=-29.352 Z=25.512 P=61.976349 Y=2.567182 R=53.343388
