Left
BP_PickupCubeDataset_C_0.StaticMeshComponent0 003_cracker_box X=304.796 Y=6.483 Z=113.153 P=56.422272 Y=-24.294153 R=-7.257987
b_r_wrist X=274.973 Y=-22.580 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=272.966 Y=-21.530 Z=30.844 P=26.884750 Y=-37.917255 R=139.735641
b_r_thumb1 X=271.217 Y=-20.168 Z=29.721 P=54.410797 Y=-24.307114 R=178.723389
b_r_thumb2 X=269.493 Y=-19.389 Z=27.077 P=42.546864 Y=-9.642958 R=168.878555
b_r_thumb3 X=267.039 Y=-18.972 Z=24.792 P=54.504414 Y=-4.006504 R=-167.059937
r_thumb_finger_tip_marker X=265.588 Y=-18.755 Z=22.814 P=54.504429 Y=-4.006487 R=-167.059937
b_r_index1 X=265.374 Y=-20.223 Z=31.268 P=5.288902 Y=6.329782 R=97.531723
b_r_index2 X=261.620 Y=-20.640 Z=30.919 P=24.171185 Y=8.638917 R=91.969696
b_r_index3 X=259.428 Y=-20.973 Z=29.923 P=79.738937 Y=19.312906 R=95.581276
r_index_finger_tip_marker X=258.961 Y=-21.157 Z=27.742 P=79.738960 Y=19.313049 R=95.581421
b_r_middle1 X=265.408 Y=-22.406 Z=31.746 P=33.411263 Y=17.005714 R=90.054649
b_r_middle2 X=261.982 Y=-23.454 Z=29.382 P=72.037376 Y=14.323780 R=84.782768
b_r_middle3 X=261.158 Y=-23.664 Z=26.761 P=74.097183 Y=9.181045 R=69.720306
r_middle_finger_tip_marker X=260.403 Y=-23.855 Z=24.386 P=74.097183 Y=9.180994 R=69.720253
b_r_ring1 X=266.103 Y=-24.325 Z=31.347 P=37.439541 Y=25.429848 R=79.645531
b_r_ring2 X=263.307 Y=-25.655 Z=28.976 P=69.672363 Y=-5.192847 R=45.077499
b_r_ring3 X=262.388 Y=-25.571 Z=26.484 P=67.960663 Y=-34.391781 R=16.732235
r_ring_finger_tip_marker X=261.527 Y=-25.177 Z=24.238 P=67.960655 Y=-34.391804 R=16.732237
b_r_pinky0 X=271.565 Y=-24.879 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=267.183 Y=-26.084 Z=30.631 P=33.790749 Y=22.349463 R=87.443062
b_r_pinky2 X=264.822 Y=-27.055 Z=28.922 P=45.846195 Y=32.393887 R=83.394264
b_r_pinky3 X=263.627 Y=-27.813 Z=27.465 P=67.706619 Y=-114.280418 R=-53.754002
r_pinky_finger_tip_marker X=263.853 Y=-27.088 Z=25.405 P=67.706612 Y=-114.280418 R=-53.754002
