Left
BP_PickupCubeDataset_C_0.StaticMeshComponent0 003_cracker_box X=311.431 Y=-6.142 Z=127.391 P=58.561527 Y=127.131943 R=156.068665
b_r_wrist X=274.973 Y=-22.580 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=272.966 Y=-21.530 Z=30.844 P=24.705879 Y=-40.653488 R=137.297180
b_r_thumb1 X=271.253 Y=-20.059 Z=29.806 P=52.602142 Y=-29.498251 R=174.330856
b_r_thumb2 X=269.535 Y=-19.087 Z=27.223 P=43.533485 Y=7.364885 R=-179.531723
b_r_thumb3 X=267.105 Y=-19.401 Z=24.895 P=56.188034 Y=10.105077 R=-157.719803
r_thumb_finger_tip_marker X=265.718 Y=-19.526 Z=22.865 P=56.188034 Y=10.105094 R=-157.719803
b_r_index1 X=265.374 Y=-20.223 Z=31.268 P=16.141041 Y=7.809157 R=98.153374
b_r_index2 X=261.764 Y=-20.718 Z=30.214 P=37.791397 Y=10.826766 R=93.353127
b_r_index3 X=259.878 Y=-21.079 Z=28.725 P=77.273102 Y=-179.954132 R=-104.901749
r_index_finger_tip_marker X=260.281 Y=-21.134 Z=26.523 P=77.273117 Y=-179.954239 R=-104.901863
b_r_middle1 X=265.408 Y=-22.406 Z=31.746 P=33.656734 Y=15.622184 R=89.826637
b_r_middle2 X=261.967 Y=-23.368 Z=29.366 P=64.515289 Y=14.282810 R=85.858154
b_r_middle3 X=260.818 Y=-23.660 Z=26.880 P=74.509720 Y=-123.021141 R=-62.514545
r_middle_finger_tip_marker X=261.100 Y=-23.181 Z=24.443 P=74.509750 Y=-123.021141 R=-62.514568
b_r_ring1 X=266.103 Y=-24.325 Z=31.347 P=32.424408 Y=25.437685 R=79.992683
b_r_ring2 X=263.131 Y=-25.739 Z=29.256 P=59.034824 Y=9.977167 R=60.076839
b_r_ring3 X=261.784 Y=-25.976 Z=26.977 P=55.738510 Y=-107.089859 R=-49.867336
r_ring_finger_tip_marker X=262.073 Y=-24.752 Z=24.888 P=55.738525 Y=-107.089844 R=-49.867306
b_r_pinky0 X=271.565 Y=-24.879 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=267.183 Y=-26.084 Z=30.631 P=26.645290 Y=22.019171 R=87.838539
b_r_pinky2 X=264.637 Y=-27.114 Z=29.253 P=46.076641 Y=29.621893 R=80.919563
b_r_pinky3 X=263.412 Y=-27.810 Z=27.790 P=74.878860 Y=-48.485809 R=11.475959
r_pinky_finger_tip_marker X=262.917 Y=-27.423 Z=25.686 P=74.878860 Y=-48.485802 R=11.475955
