Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 003_cracker_box X=279.822 Y=-14.838 Z=116.918 P=-26.617390 Y=152.944519 R=-88.294197
b_r_wrist X=256.547 Y=-25.696 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=258.554 Y=-26.746 Z=30.844 P=26.119442 Y=141.088837 R=138.847198
b_r_thumb1 X=260.290 Y=-28.148 Z=29.750 P=41.053020 Y=154.798279 R=176.743912
b_r_thumb2 X=262.508 Y=-29.192 Z=27.615 P=32.878651 Y=-175.618469 R=173.109940
b_r_thumb3 X=265.338 Y=-28.975 Z=25.781 P=31.199743 Y=-136.092407 R=-144.728745
r_thumb_finger_tip_marker X=266.937 Y=-27.606 Z=24.503 P=31.199749 Y=-136.092407 R=-144.728745
b_r_index1 X=266.146 Y=-28.053 Z=31.268 P=17.298744 Y=-174.876144 R=97.837822
b_r_index2 X=269.753 Y=-27.729 Z=30.140 P=36.000168 Y=-172.153824 R=92.920219
b_r_index3 X=271.701 Y=-27.461 Z=28.712 P=22.509455 Y=-165.838654 R=92.222015
r_index_finger_tip_marker X=273.736 Y=-26.921 Z=27.951 P=22.509474 Y=-165.838623 R=92.222046
b_r_middle1 X=266.112 Y=-25.870 Z=31.746 P=29.567595 Y=-166.994675 R=89.389374
b_r_middle2 X=269.749 Y=-25.030 Z=29.627 P=55.582233 Y=-167.912201 R=85.889267
b_r_middle3 X=271.272 Y=-24.704 Z=27.355 P=40.121048 Y=-164.258087 R=80.122101
r_middle_finger_tip_marker X=273.162 Y=-24.119 Z=25.828 P=40.121056 Y=-164.258118 R=80.122093
b_r_ring1 X=265.417 Y=-23.951 Z=31.347 P=29.145571 Y=-153.578003 R=80.370346
b_r_ring2 X=268.467 Y=-22.435 Z=29.448 P=56.807850 Y=-168.271194 R=61.488052
b_r_ring3 X=269.891 Y=-22.140 Z=27.224 P=57.404266 Y=175.510529 R=46.846386
r_ring_finger_tip_marker X=271.291 Y=-22.120 Z=25.228 P=57.404247 Y=175.510498 R=46.846371
b_r_pinky0 X=259.955 Y=-23.397 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=264.337 Y=-22.192 Z=30.631 P=28.275377 Y=-161.083603 R=87.197227
b_r_pinky2 X=266.896 Y=-21.315 Z=29.175 P=57.913197 Y=-156.863724 R=77.296028
b_r_pinky3 X=267.889 Y=-20.891 Z=27.455 P=55.069534 Y=-176.814102 R=61.111610
r_pinky_finger_tip_marker X=269.237 Y=-20.778 Z=25.725 P=55.069523 Y=-176.814102 R=61.111584
