Left
004_sugar_box X=283.496 Y=13.269 Z=109.078 P=-11.302050 Y=-140.706070 R=8.824410
b_r_wrist X=276.250 Y=14.561 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=274.243 Y=15.611 Z=30.844 P=23.087090 Y=-42.517384 R=135.650726
b_r_thumb1 X=272.558 Y=17.156 Z=29.870 P=46.607021 Y=-31.914129 R=171.835938
b_r_thumb2 X=270.662 Y=18.337 Z=27.507 P=37.610966 Y=-11.001273 R=164.799179
b_r_thumb3 X=268.034 Y=18.848 Z=25.445 P=50.246071 Y=-17.939068 R=179.594360
r_thumb_finger_tip_marker X=266.520 Y=19.445 Z=23.598 P=50.246071 Y=-17.939051 R=179.594360
b_r_index1 X=266.651 Y=16.917 Z=31.268 P=32.582153 Y=9.199617 R=99.644203
b_r_index2 X=263.496 Y=16.407 Z=29.226 P=57.296261 Y=14.929625 R=97.553528
b_r_index3 X=262.227 Y=16.068 Z=27.181 P=64.923706 Y=179.550507 R=-105.890373
r_index_finger_tip_marker X=263.093 Y=16.005 Z=25.117 P=64.923706 Y=179.550461 R=-105.890411
b_r_middle1 X=266.685 Y=14.735 Z=31.746 P=51.933506 Y=10.950708 R=88.934013
b_r_middle2 X=264.087 Y=14.232 Z=28.366 P=78.765610 Y=6.975741 R=82.347160
b_r_middle3 X=263.554 Y=14.167 Z=25.664 P=69.544403 Y=12.628594 R=78.722893
r_middle_finger_tip_marker X=262.618 Y=13.903 Z=23.362 P=69.544403 Y=12.628556 R=78.722855
b_r_ring1 X=267.380 Y=12.816 Z=31.347 P=52.732773 Y=11.277576 R=74.046188
b_r_ring2 X=265.065 Y=12.354 Z=28.244 P=72.968498 Y=-21.075806 R=36.279140
b_r_ring3 X=264.338 Y=12.634 Z=25.703 P=69.278549 Y=-49.840038 R=7.965035
r_ring_finger_tip_marker X=263.661 Y=13.184 Z=23.426 P=69.278511 Y=-49.840027 R=7.965032
b_r_pinky0 X=272.842 Y=12.262 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.460 Y=11.057 Z=30.631 P=50.262165 Y=3.293061 R=81.922829
b_r_pinky2 X=266.499 Y=10.944 Z=28.268 P=69.406761 Y=13.276114 R=79.278297
b_r_pinky3 X=265.804 Y=10.780 Z=26.367 P=69.323929 Y=-23.041330 R=45.893353
r_pinky_finger_tip_marker X=264.975 Y=11.059 Z=24.353 P=69.323944 Y=-23.041321 R=45.893345
