Right
004_sugar_box X=265.247 Y=21.053 Z=138.672 P=-37.076572 Y=-88.410225 R=-80.868576
b_r_wrist X=276.250 Y=14.561 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=278.257 Y=13.511 Z=30.844 P=30.034943 Y=146.630875 R=143.835983
b_r_thumb1 X=280.054 Y=12.328 Z=29.600 P=54.367470 Y=164.176544 R=-174.156296
b_r_thumb2 X=281.876 Y=11.811 Z=26.958 P=38.837910 Y=159.718781 R=162.392654
b_r_thumb3 X=284.345 Y=10.899 Z=24.839 P=50.949142 Y=147.163910 R=173.031219
r_thumb_finger_tip_marker X=285.647 Y=9.947 Z=22.979 P=50.949154 Y=147.163925 R=173.031219
b_r_index1 X=285.849 Y=12.205 Z=31.268 P=43.504925 Y=-165.626968 R=102.035988
b_r_index2 X=288.514 Y=12.887 Z=28.657 P=72.983887 Y=-149.948593 R=109.533241
b_r_index3 X=289.130 Y=13.244 Z=26.333 P=63.303059 Y=-142.761475 R=112.273689
r_index_finger_tip_marker X=290.012 Y=13.900 Z=24.383 P=63.303078 Y=-142.761444 R=112.273758
b_r_middle1 X=285.815 Y=14.387 Z=31.746 P=52.884647 Y=-171.028503 R=88.509239
b_r_middle2 X=288.373 Y=14.791 Z=28.322 P=86.404129 Y=164.962891 R=62.033897
b_r_middle3 X=288.540 Y=14.746 Z=25.573 P=76.438889 Y=-170.220154 R=77.689163
r_middle_finger_tip_marker X=289.208 Y=14.916 Z=23.171 P=76.438889 Y=-170.220215 R=77.689102
b_r_ring1 X=285.120 Y=16.306 Z=31.347 P=52.522385 Y=-164.736511 R=75.097572
b_r_ring2 X=287.409 Y=16.931 Z=28.252 P=76.838364 Y=122.204659 R=-2.447976
b_r_ring3 X=287.731 Y=16.419 Z=25.665 P=68.580421 Y=103.167976 R=-21.710098
r_ring_finger_tip_marker X=288.052 Y=15.661 Z=23.370 P=68.580406 Y=103.167976 R=-21.710070
b_r_pinky0 X=279.658 Y=16.860 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=284.040 Y=18.065 Z=30.631 P=56.500759 Y=-171.934235 R=81.829086
b_r_pinky2 X=285.719 Y=18.303 Z=28.069 P=87.412895 Y=167.151093 R=48.115154
b_r_pinky3 X=285.808 Y=18.283 Z=26.040 P=48.322720 Y=44.231918 R=-71.225288
r_pinky_finger_tip_marker X=284.865 Y=17.277 Z=24.331 P=48.322720 Y=44.231911 R=-71.225296
