Right
004_sugar_box X=274.411 Y=1.278 Z=124.260 P=7.131912 Y=-179.240280 R=-19.282993
b_r_wrist X=276.250 Y=14.561 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=278.257 Y=13.511 Z=30.844 P=31.723747 Y=149.453033 R=146.404572
b_r_thumb1 X=280.077 Y=12.437 Z=29.538 P=40.732735 Y=166.157745 R=-173.306320
b_r_thumb2 X=282.469 Y=11.847 Z=27.416 P=26.919870 Y=169.434723 R=167.974625
b_r_thumb3 X=285.431 Y=11.295 Z=25.886 P=40.099308 Y=152.059769 R=177.664124
r_thumb_finger_tip_marker X=287.087 Y=10.304 Z=24.357 P=40.099312 Y=152.059769 R=177.664124
b_r_index1 X=285.849 Y=12.205 Z=31.268 P=29.136158 Y=-176.521057 R=98.414589
b_r_index2 X=289.156 Y=12.406 Z=29.422 P=73.281914 Y=-166.140106 R=100.648148
b_r_index3 X=289.835 Y=12.573 Z=27.094 P=71.787460 Y=-147.865692 R=113.904808
r_index_finger_tip_marker X=290.519 Y=12.986 Z=25.003 P=71.787460 Y=-147.865616 R=113.904892
b_r_middle1 X=285.815 Y=14.387 Z=31.746 P=64.767075 Y=-163.388412 R=90.212448
b_r_middle2 X=287.568 Y=14.910 Z=27.862 P=79.449287 Y=19.888340 R=-89.348312
b_r_middle3 X=287.094 Y=14.739 Z=25.154 P=85.726059 Y=17.424852 R=-101.153908
r_middle_finger_tip_marker X=287.001 Y=14.764 Z=22.657 P=85.726112 Y=17.425028 R=-101.153809
b_r_ring1 X=285.120 Y=16.306 Z=31.347 P=50.761883 Y=-168.043533 R=74.676804
b_r_ring2 X=287.533 Y=16.817 Z=28.327 P=75.317413 Y=103.289299 R=-17.643223
b_r_ring3 X=287.688 Y=16.162 Z=25.756 P=67.443184 Y=98.031227 R=-23.612429
r_ring_finger_tip_marker X=287.942 Y=15.337 Z=23.476 P=67.443169 Y=98.031258 R=-23.612398
b_r_pinky0 X=279.658 Y=16.860 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=284.040 Y=18.065 Z=30.631 P=46.193001 Y=-173.819000 R=83.145660
b_r_pinky2 X=286.154 Y=18.294 Z=28.414 P=81.703918 Y=172.702942 R=56.660984
b_r_pinky3 X=286.445 Y=18.257 Z=26.404 P=74.007072 Y=125.605667 R=11.067472
r_pinky_finger_tip_marker X=286.916 Y=17.796 Z=24.310 P=74.007072 Y=125.605652 R=11.067462
