Left
004_sugar_box X=277.488 Y=-2.179 Z=117.195 P=-6.660356 Y=-116.801888 R=3.799055
b_r_wrist X=276.250 Y=14.561 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=274.243 Y=15.611 Z=30.844 P=23.321093 Y=-42.255890 R=135.880951
b_r_thumb1 X=272.554 Y=17.146 Z=29.861 P=39.768101 Y=-30.178865 R=172.479492
b_r_thumb2 X=270.394 Y=18.402 Z=27.781 P=29.545273 Y=-16.001680 R=159.665176
b_r_thumb3 X=267.568 Y=19.212 Z=26.114 P=40.726692 Y=-32.868988 R=169.323654
r_thumb_finger_tip_marker X=266.004 Y=20.328 Z=24.574 P=40.726700 Y=-32.868984 R=169.323654
b_r_index1 X=266.651 Y=16.917 Z=31.268 P=25.824247 Y=4.063152 R=98.234383
b_r_index2 X=263.245 Y=16.676 Z=29.616 P=42.311501 Y=7.124104 R=93.840019
b_r_index3 X=261.462 Y=16.453 Z=27.980 P=54.543285 Y=16.594950 R=96.427818
r_index_finger_tip_marker X=260.142 Y=16.041 Z=26.219 P=54.543274 Y=16.594986 R=96.427834
b_r_middle1 X=266.685 Y=14.735 Z=31.746 P=50.915512 Y=7.454821 R=88.241013
b_r_middle2 X=264.002 Y=14.384 Z=28.413 P=86.664215 Y=-131.925293 R=-53.409073
b_r_middle3 X=264.109 Y=14.503 Z=25.663 P=82.692810 Y=2.578111 R=71.916107
r_middle_finger_tip_marker X=263.697 Y=14.420 Z=23.199 P=82.692810 Y=2.578002 R=71.916000
b_r_ring1 X=267.380 Y=12.816 Z=31.347 P=64.099907 Y=5.359901 R=68.230736
b_r_ring2 X=265.684 Y=12.657 Z=27.839 P=61.746689 Y=-123.686577 R=-64.626526
b_r_ring3 X=266.382 Y=13.703 Z=25.498 P=50.339680 Y=-120.204086 R=-62.785152
r_ring_finger_tip_marker X=267.059 Y=14.968 Z=23.527 P=50.339668 Y=-120.204056 R=-62.785130
b_r_pinky0 X=272.842 Y=12.262 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.460 Y=11.057 Z=30.631 P=42.645847 Y=6.463138 R=83.661705
b_r_pinky2 X=266.215 Y=10.802 Z=28.550 P=72.092293 Y=8.413527 R=72.523010
b_r_pinky3 X=265.597 Y=10.711 Z=26.617 P=71.453293 Y=-37.125599 R=29.925659
r_pinky_finger_tip_marker X=264.923 Y=11.105 Z=24.565 P=71.453293 Y=-37.125595 R=29.925653
