Left
005_tomato_soup_can X=288.407 Y=11.686 Z=107.169 P=-8.983597 Y=-83.066528 R=-1.091800
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.937 Y=9.196 Z=30.844 P=30.934479 Y=-31.905775 R=145.165771
b_r_thumb1 X=272.127 Y=10.323 Z=29.567 P=50.335091 Y=-14.103291 R=-172.979355
b_r_thumb2 X=270.114 Y=10.829 Z=27.064 P=36.379387 Y=-11.263804 R=168.459442
b_r_thumb3 X=267.446 Y=11.360 Z=25.060 P=49.380192 Y=-28.114555 R=176.328827
r_thumb_finger_tip_marker X=266.031 Y=12.227 Z=23.241 P=49.380192 Y=-28.114534 R=176.328812
b_r_index1 X=266.344 Y=10.503 Z=31.268 P=3.779225 Y=-0.542653 R=96.514000
b_r_index2 X=262.560 Y=10.539 Z=31.018 P=18.539249 Y=1.322026 R=90.773926
b_r_index3 X=260.256 Y=10.485 Z=30.245 P=20.806599 Y=7.234297 R=88.519150
r_index_finger_tip_marker X=258.151 Y=10.186 Z=29.546 P=20.806599 Y=7.234323 R=88.519142
b_r_middle1 X=266.379 Y=8.320 Z=31.746 P=18.012526 Y=7.341390 R=88.504982
b_r_middle2 X=262.330 Y=7.799 Z=30.418 P=40.663128 Y=6.468679 R=85.243752
b_r_middle3 X=260.253 Y=7.563 Z=28.623 P=46.710968 Y=2.887355 R=72.252235
r_middle_finger_tip_marker X=258.475 Y=7.409 Z=26.874 P=46.710968 Y=2.887332 R=72.252220
b_r_ring1 X=267.074 Y=6.401 Z=31.347 P=19.252274 Y=18.849850 R=79.245911
b_r_ring2 X=263.590 Y=5.212 Z=30.061 P=41.476425 Y=9.884745 R=66.264900
b_r_ring3 X=261.628 Y=4.870 Z=28.301 P=55.395664 Y=-16.753468 R=44.757565
r_ring_finger_tip_marker X=260.192 Y=5.164 Z=26.353 P=55.395672 Y=-16.753498 R=44.757572
b_r_pinky0 X=272.536 Y=5.847 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.153 Y=4.642 Z=30.631 P=55.404453 Y=11.003067 R=82.737961
b_r_pinky2 X=266.441 Y=4.309 Z=28.102 P=66.681679 Y=-144.365967 R=-86.388542
b_r_pinky3 X=267.095 Y=4.778 Z=26.237 P=49.067295 Y=-129.304901 R=-72.189926
r_pinky_finger_tip_marker X=267.906 Y=5.864 Z=24.510 P=49.067295 Y=-129.304901 R=-72.189934
