Right
005_tomato_soup_can X=269.778 Y=11.970 Z=124.140 P=24.662336 Y=-178.103149 R=-49.189163
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.950 Y=7.096 Z=30.844 P=29.075062 Y=145.157639 R=142.502060
b_r_thumb1 X=279.733 Y=5.855 Z=29.637 P=45.206692 Y=160.785751 R=-177.770584
b_r_thumb2 X=281.896 Y=5.102 Z=27.329 P=32.569633 Y=169.981216 R=167.270462
b_r_thumb3 X=284.700 Y=4.606 Z=25.510 P=45.201962 Y=149.794266 R=173.819672
r_thumb_finger_tip_marker X=286.198 Y=3.625 Z=23.820 P=45.201962 Y=149.794266 R=173.819672
b_r_index1 X=285.543 Y=5.790 Z=31.268 P=29.636189 Y=-163.762115 R=100.331863
b_r_index2 X=288.708 Y=6.712 Z=29.393 P=53.811893 Y=-158.079468 R=97.972221
b_r_index3 X=290.039 Y=7.247 Z=27.431 P=59.345783 Y=-146.159851 R=103.571335
r_index_finger_tip_marker X=291.060 Y=7.937 Z=25.562 P=59.345776 Y=-146.159790 R=103.571388
b_r_middle1 X=285.508 Y=7.972 Z=31.746 P=44.025490 Y=-159.835419 R=90.704384
b_r_middle2 X=288.405 Y=9.036 Z=28.762 P=68.542831 Y=-159.520126 R=88.126740
b_r_middle3 X=289.349 Y=9.389 Z=26.198 P=80.682831 Y=68.784355 R=-54.784565
r_middle_finger_tip_marker X=289.280 Y=9.099 Z=23.717 P=80.682831 Y=68.784416 R=-54.784534
b_r_ring1 X=284.813 Y=9.892 Z=31.347 P=77.131615 Y=158.960403 R=43.393894
b_r_ring2 X=285.624 Y=9.580 Z=27.545 P=40.321140 Y=41.752888 R=-77.800201
b_r_ring3 X=284.112 Y=8.231 Z=25.826 P=31.301472 Y=47.701771 R=-75.338333
r_ring_finger_tip_marker X=282.782 Y=6.745 Z=24.423 P=31.301451 Y=47.701782 R=-75.338303
b_r_pinky0 X=279.351 Y=10.446 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.733 Y=11.651 Z=30.631 P=81.960548 Y=55.209232 R=-49.449749
b_r_pinky2 X=283.488 Y=11.298 Z=27.589 P=8.981350 Y=23.981903 R=-97.576477
b_r_pinky3 X=281.655 Y=10.482 Z=27.272 P=-31.676039 Y=40.259159 R=-98.240166
r_pinky_finger_tip_marker X=280.186 Y=9.229 Z=28.318 P=-31.676031 Y=40.259155 R=-98.240173
