Right
005_tomato_soup_can X=265.785 Y=10.674 Z=124.360 P=32.328861 Y=169.972397 R=-66.384140
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.950 Y=7.096 Z=30.844 P=30.248079 Y=146.970001 R=144.143738
b_r_thumb1 X=279.750 Y=5.926 Z=29.593 P=45.639549 Y=163.481094 R=-175.398849
b_r_thumb2 X=281.929 Y=5.280 Z=27.268 P=32.948948 Y=173.456406 R=170.127747
b_r_thumb3 X=284.747 Y=4.957 Z=25.430 P=46.463333 Y=158.839630 R=-179.839539
r_thumb_finger_tip_marker X=286.334 Y=4.232 Z=23.693 P=46.463326 Y=158.839630 R=-179.839539
b_r_index1 X=285.543 Y=5.790 Z=31.268 P=33.073532 Y=-162.143768 R=100.950233
b_r_index2 X=288.568 Y=6.764 Z=29.198 P=59.746243 Y=-154.620895 R=100.289940
b_r_index3 X=289.674 Y=7.289 Z=27.099 P=60.603363 Y=-142.661545 R=106.428528
r_index_finger_tip_marker X=290.621 Y=8.011 Z=25.203 P=60.603363 Y=-142.661499 R=106.428581
b_r_middle1 X=285.508 Y=7.972 Z=31.746 P=45.777966 Y=-162.646881 R=90.199867
b_r_middle2 X=288.366 Y=8.865 Z=28.669 P=75.656197 Y=-164.018616 R=86.054413
b_r_middle3 X=289.022 Y=9.053 Z=26.000 P=64.599937 Y=-159.863831 R=81.064568
r_middle_finger_tip_marker X=290.102 Y=9.501 Z=23.791 P=64.599953 Y=-159.863861 R=81.064545
b_r_ring1 X=284.813 Y=9.892 Z=31.347 P=43.420067 Y=-160.564423 R=77.679070
b_r_ring2 X=287.484 Y=10.834 Z=28.667 P=68.652840 Y=174.272766 R=47.693497
b_r_ring3 X=288.447 Y=10.738 Z=26.192 P=65.270592 Y=157.431229 R=31.221565
r_ring_finger_tip_marker X=289.496 Y=10.465 Z=24.008 P=65.270622 Y=157.431229 R=31.221588
b_r_pinky0 X=279.351 Y=10.446 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.733 Y=11.651 Z=30.631 P=43.527527 Y=-174.101151 R=83.443718
b_r_pinky2 X=285.949 Y=11.880 Z=28.515 P=60.583809 Y=-164.600937 R=79.891670
b_r_pinky3 X=286.911 Y=12.144 Z=26.746 P=70.833946 Y=149.385193 R=38.796524
r_pinky_finger_tip_marker X=287.648 Y=11.800 Z=24.706 P=70.833946 Y=149.385193 R=38.796524
