Right
005_tomato_soup_can X=281.243 Y=18.367 Z=113.286 P=-2.342721 Y=-69.436157 R=-9.280431
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.950 Y=7.096 Z=30.844 P=31.908804 Y=149.782761 R=146.705750
b_r_thumb1 X=279.773 Y=6.035 Z=29.531 P=50.345524 Y=168.543289 R=-170.676193
b_r_thumb2 X=281.807 Y=5.623 Z=27.028 P=36.811287 Y=174.791382 R=172.954681
b_r_thumb3 X=284.501 Y=5.377 Z=25.003 P=49.078255 Y=136.458496 R=165.232788
r_thumb_finger_tip_marker X=285.662 Y=4.160 Z=23.204 P=49.078274 Y=136.458527 R=165.232788
b_r_index1 X=285.543 Y=5.790 Z=31.268 P=39.440716 Y=179.134995 R=98.737007
b_r_index2 X=288.471 Y=5.746 Z=28.859 P=74.373161 Y=-169.624985 R=102.241516
b_r_index3 X=289.115 Y=5.864 Z=26.518 P=67.824326 Y=-156.698364 R=110.455956
r_index_finger_tip_marker X=289.984 Y=6.229 Z=24.487 P=67.824326 Y=-156.698303 R=110.456039
b_r_middle1 X=285.508 Y=7.972 Z=31.746 P=43.095749 Y=-176.842255 R=87.611862
b_r_middle2 X=288.638 Y=8.145 Z=28.813 P=80.114586 Y=169.963974 R=72.370255
b_r_middle3 X=289.104 Y=8.063 Z=26.099 P=68.966278 Y=-177.366470 R=75.767548
r_middle_finger_tip_marker X=290.092 Y=8.166 Z=23.805 P=68.966263 Y=-177.366486 R=75.767502
b_r_ring1 X=284.813 Y=9.892 Z=31.347 P=46.898067 Y=-167.797531 R=75.516220
b_r_ring2 X=287.417 Y=10.455 Z=28.500 P=75.232635 Y=125.894287 R=5.628325
b_r_ring3 X=287.815 Y=9.906 Z=25.930 P=67.558441 Y=103.305161 R=-16.891459
r_ring_finger_tip_marker X=288.156 Y=9.100 Z=23.654 P=67.558411 Y=103.305153 R=-16.891418
b_r_pinky0 X=279.351 Y=10.446 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.733 Y=11.651 Z=30.631 P=62.097591 Y=-179.130630 R=78.589348
b_r_pinky2 X=285.171 Y=11.672 Z=27.916 P=79.684975 Y=-161.878479 R=83.914093
b_r_pinky3 X=285.517 Y=11.786 Z=25.918 P=72.172211 Y=159.868149 R=46.952984
r_pinky_finger_tip_marker X=286.264 Y=11.581 Z=23.863 P=72.172211 Y=159.868149 R=46.952972
