Left
005_tomato_soup_can X=279.965 Y=-4.310 Z=112.708 P=-20.900377 Y=-4.811348 R=11.138851
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.937 Y=9.196 Z=30.844 P=30.161642 Y=-33.168102 R=144.018372
b_r_thumb1 X=272.138 Y=10.372 Z=29.596 P=56.263756 Y=-15.090771 R=-173.377533
b_r_thumb2 X=270.395 Y=10.842 Z=26.892 P=42.479317 Y=-10.708516 R=169.399780
b_r_thumb3 X=267.946 Y=11.305 Z=24.610 P=54.571999 Y=-38.769958 R=167.392593
r_thumb_finger_tip_marker X=266.832 Y=12.309 Z=22.657 P=54.572018 Y=-38.769958 R=167.392593
b_r_index1 X=266.344 Y=10.503 Z=31.268 P=20.797665 Y=4.073377 R=97.887207
b_r_index2 X=262.807 Y=10.251 Z=29.922 P=48.385578 Y=7.694801 R=93.732971
b_r_index3 X=261.208 Y=10.035 Z=28.105 P=54.493927 Y=17.332724 R=96.915459
r_index_finger_tip_marker X=259.891 Y=9.606 Z=26.345 P=54.493912 Y=17.332762 R=96.915489
b_r_middle1 X=266.379 Y=8.320 Z=31.746 P=38.808529 Y=6.933209 R=88.344711
b_r_middle2 X=263.058 Y=7.917 Z=29.055 P=75.164330 Y=0.113578 R=79.339722
b_r_middle3 X=262.353 Y=7.915 Z=26.392 P=83.119316 Y=-41.357121 R=27.570967
r_middle_finger_tip_marker X=262.033 Y=8.043 Z=23.917 P=83.119339 Y=-41.357239 R=27.570889
b_r_ring1 X=267.074 Y=6.401 Z=31.347 P=39.126881 Y=14.858013 R=77.224434
b_r_ring2 X=264.150 Y=5.625 Z=28.886 P=66.285049 Y=-10.285459 R=47.964924
b_r_ring3 X=263.098 Y=5.816 Z=26.453 P=67.279816 Y=-68.466606 R=-7.468719
r_ring_finger_tip_marker X=262.624 Y=6.593 Z=24.191 P=67.279808 Y=-68.466629 R=-7.468714
b_r_pinky0 X=272.536 Y=5.847 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.153 Y=4.642 Z=30.631 P=61.491001 Y=-6.277150 R=76.920929
b_r_pinky2 X=266.696 Y=4.802 Z=27.931 P=68.837234 Y=-155.193451 R=-84.660645
b_r_pinky3 X=267.361 Y=5.110 Z=26.037 P=57.567734 Y=-135.843231 R=-66.379265
r_pinky_finger_tip_marker X=268.094 Y=5.921 Z=24.132 P=57.567734 Y=-135.843231 R=-66.379288
