Right
005_tomato_soup_can X=273.580 Y=7.119 Z=135.640 P=-21.622227 Y=161.557465 R=-142.037048
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.950 Y=7.096 Z=30.844 P=27.832363 Y=143.368362 R=140.889221
b_r_thumb1 X=279.714 Y=5.785 Z=29.684 P=52.930397 Y=158.135788 R=-179.376633
b_r_thumb2 X=281.533 Y=5.055 Z=27.090 P=39.321213 Y=163.435074 R=163.929611
b_r_thumb3 X=284.038 Y=4.310 Z=24.949 P=51.786861 Y=163.304504 R=-176.408539
r_thumb_finger_tip_marker X=285.510 Y=3.757 Z=23.054 P=51.786854 Y=163.304520 R=-176.408539
b_r_index1 X=285.543 Y=5.790 Z=31.268 P=10.085607 Y=-169.205872 R=98.271530
b_r_index2 X=289.211 Y=6.489 Z=30.604 P=33.834026 Y=-166.213333 R=93.194267
b_r_index3 X=291.171 Y=6.970 Z=29.251 P=38.046654 Y=-159.132355 R=93.044945
r_index_finger_tip_marker X=292.868 Y=7.643 Z=27.954 P=38.046661 Y=-159.132339 R=93.044968
b_r_middle1 X=285.508 Y=7.972 Z=31.746 P=29.205818 Y=-160.514877 R=90.428551
b_r_middle2 X=289.040 Y=9.222 Z=29.651 P=54.711636 Y=-160.585617 R=87.522919
b_r_middle3 X=290.541 Y=9.751 Z=27.402 P=59.400726 Y=-164.280029 R=74.040886
r_middle_finger_tip_marker X=291.832 Y=10.178 Z=25.305 P=59.400730 Y=-164.280060 R=74.040871
b_r_ring1 X=284.813 Y=9.892 Z=31.347 P=27.269871 Y=-156.712067 R=79.813965
b_r_ring2 X=287.997 Y=11.262 Z=29.560 P=50.798035 Y=-167.701080 R=64.332474
b_r_ring3 X=289.638 Y=11.620 Z=27.501 P=50.384304 Y=-179.733948 R=54.061100
r_ring_finger_tip_marker X=291.277 Y=11.743 Z=25.700 P=50.384285 Y=-179.733978 R=54.061089
b_r_pinky0 X=279.351 Y=10.446 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.733 Y=11.651 Z=30.631 P=25.132492 Y=-175.989914 R=84.898491
b_r_pinky2 X=286.508 Y=11.845 Z=29.326 P=35.146114 Y=-167.260452 R=79.108253
b_r_pinky3 X=288.128 Y=12.211 Z=28.157 P=35.302082 Y=178.440918 R=71.436234
r_pinky_finger_tip_marker X=289.988 Y=12.176 Z=26.990 P=35.302090 Y=178.440918 R=71.436218
