Left
005_tomato_soup_can X=279.272 Y=4.545 Z=128.297 P=0.949089 Y=132.414856 R=-156.013748
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.937 Y=9.196 Z=30.844 P=28.662750 Y=-35.449959 R=141.953445
b_r_thumb1 X=272.160 Y=10.461 Z=29.652 P=57.978359 Y=-19.286221 R=-176.782608
b_r_thumb2 X=270.533 Y=11.030 Z=26.896 P=44.512020 Y=-12.615390 R=167.843002
b_r_thumb3 X=268.181 Y=11.557 Z=24.527 P=57.376591 Y=-24.543612 R=178.081635
r_thumb_finger_tip_marker X=266.963 Y=12.223 Z=22.494 P=57.376617 Y=-24.543608 R=178.081635
b_r_index1 X=266.344 Y=10.503 Z=31.268 P=28.035139 Y=8.237459 R=99.048050
b_r_index2 X=263.031 Y=10.023 Z=29.486 P=53.985771 Y=13.149611 R=96.105698
b_r_index3 X=261.639 Y=9.698 Z=27.520 P=45.983227 Y=20.884140 R=98.070808
r_index_finger_tip_marker X=260.122 Y=9.103 Z=25.985 P=45.983192 Y=20.884171 R=98.070816
b_r_middle1 X=266.379 Y=8.320 Z=31.746 P=40.236706 Y=8.883913 R=88.668015
b_r_middle2 X=263.141 Y=7.814 Z=28.973 P=64.439941 Y=7.240758 R=84.494987
b_r_middle3 X=261.962 Y=7.664 Z=26.487 P=65.246292 Y=4.709070 R=72.182503
r_middle_finger_tip_marker X=260.836 Y=7.507 Z=24.262 P=65.246277 Y=4.709035 R=72.182434
b_r_ring1 X=267.074 Y=6.401 Z=31.347 P=38.464527 Y=13.508138 R=77.032310
b_r_ring2 X=264.105 Y=5.688 Z=28.921 P=62.408924 Y=-5.268336 R=53.738091
b_r_ring3 X=262.879 Y=5.801 Z=26.566 P=58.707153 Y=-16.997627 R=42.591976
r_ring_finger_tip_marker X=261.558 Y=6.063 Z=24.534 P=58.707134 Y=-16.997654 R=42.591946
b_r_pinky0 X=272.536 Y=5.847 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.153 Y=4.642 Z=30.631 P=34.830399 Y=4.488809 R=84.153473
b_r_pinky2 X=265.639 Y=4.445 Z=28.876 P=51.823219 Y=12.410033 R=78.530098
b_r_pinky3 X=264.413 Y=4.175 Z=27.279 P=47.852818 Y=-4.007907 R=66.349426
r_pinky_finger_tip_marker X=262.854 Y=4.258 Z=25.735 P=47.852833 Y=-4.007908 R=66.349434
