Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 006_mustard_bottle X=285.439 Y=26.173 Z=105.412 P=8.129476 Y=-42.531780 R=-8.829462
b_r_wrist X=266.292 Y=13.137 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=268.299 Y=12.087 Z=30.844 P=28.521332 Y=144.344940 R=141.768478
b_r_thumb1 X=270.073 Y=10.814 Z=29.658 P=51.253353 Y=159.812439 R=-178.111526
b_r_thumb2 X=271.983 Y=10.112 Z=27.122 P=35.576088 Y=156.846817 R=159.649612
b_r_thumb3 X=274.510 Y=9.032 Z=25.156 P=48.003513 Y=159.311005 R=-178.875961
r_thumb_finger_tip_marker X=276.058 Y=8.336 Z=23.372 P=48.003506 Y=159.311005 R=-178.875961
b_r_index1 X=275.892 Y=10.781 Z=31.268 P=13.912241 Y=179.788498 R=96.887825
b_r_index2 X=279.573 Y=10.767 Z=30.356 P=38.033188 Y=-177.763184 R=91.759254
b_r_index3 X=281.486 Y=10.842 Z=28.859 P=35.981873 Y=-170.663666 R=91.905609
r_index_finger_tip_marker X=283.327 Y=11.171 Z=27.629 P=35.981876 Y=-170.663635 R=91.905624
b_r_middle1 X=275.857 Y=12.963 Z=31.746 P=45.981743 Y=-159.544006 R=90.788170
b_r_middle2 X=278.652 Y=14.006 Z=28.659 P=80.792465 Y=-160.969315 R=86.488007
b_r_middle3 X=279.068 Y=14.150 Z=25.939 P=76.394417 Y=-160.067657 R=77.840797
r_middle_finger_tip_marker X=279.698 Y=14.435 Z=23.537 P=76.394417 Y=-160.067719 R=77.840736
b_r_ring1 X=275.162 Y=14.882 Z=31.347 P=57.410919 Y=-156.210327 R=76.345367
b_r_ring2 X=277.084 Y=15.730 Z=28.061 P=78.620499 Y=115.360275 R=-17.428146
b_r_ring3 X=277.308 Y=15.256 Z=25.456 P=70.320412 Y=106.568695 R=-26.913155
r_ring_finger_tip_marker X=277.642 Y=14.595 Z=23.133 P=70.320396 Y=106.568726 R=-26.913118
b_r_pinky0 X=269.700 Y=15.437 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=274.082 Y=16.642 Z=30.631 P=73.649124 Y=-165.587753 R=78.527435
b_r_pinky2 X=274.920 Y=16.857 Z=27.683 P=86.474236 Y=-64.685638 R=167.896240
b_r_pinky3 X=274.867 Y=16.970 Z=25.656 P=81.232170 Y=99.752670 R=-27.047861
r_pinky_finger_tip_marker X=275.035 Y=16.693 Z=23.484 P=81.232155 Y=99.752625 R=-27.047861
