Left
BP_PickupCubeDataset_C_0.StaticMeshComponent0 006_mustard_bottle X=277.275 Y=17.973 Z=106.947 P=-14.249030 Y=-88.651230 R=13.597977
b_r_wrist X=266.292 Y=13.137 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=264.285 Y=14.187 Z=30.844 P=31.608263 Y=-30.750500 R=146.218765
b_r_thumb1 X=262.466 Y=15.269 Z=29.542 P=54.985863 Y=-11.032094 R=-169.994888
b_r_thumb2 X=260.635 Y=15.626 Z=26.879 P=41.458202 Y=-3.447957 R=174.948654
b_r_thumb3 X=258.107 Y=15.779 Z=24.642 P=55.467739 Y=-14.326285 R=-173.730515
r_thumb_finger_tip_marker X=256.740 Y=16.241 Z=22.647 P=55.467762 Y=-14.326270 R=-173.730530
b_r_index1 X=256.693 Y=15.494 Z=31.268 P=15.436411 Y=1.237072 R=97.174232
b_r_index2 X=253.038 Y=15.415 Z=30.259 P=45.308281 Y=4.205227 R=92.426064
b_r_index3 X=251.333 Y=15.289 Z=28.531 P=67.090851 Y=16.275291 R=97.830994
r_index_finger_tip_marker X=250.409 Y=15.004 Z=26.512 P=67.090858 Y=16.275362 R=97.831062
b_r_middle1 X=256.728 Y=13.311 Z=31.746 P=34.359650 Y=13.564031 R=89.486465
b_r_middle2 X=253.283 Y=12.480 Z=29.323 P=74.040009 Y=9.047686 R=82.568123
b_r_middle3 X=252.535 Y=12.361 Z=26.674 P=70.395164 Y=9.909752 R=73.788635
r_middle_finger_tip_marker X=251.627 Y=12.140 Z=24.356 P=70.395180 Y=9.909712 R=73.788605
b_r_ring1 X=257.423 Y=11.392 Z=31.347 P=42.658787 Y=22.808107 R=78.547310
b_r_ring2 X=254.779 Y=10.280 Z=28.704 P=75.018822 Y=-29.369640 R=22.552948
b_r_ring3 X=254.180 Y=10.617 Z=26.137 P=69.031677 Y=-62.587376 R=-10.231332
r_ring_finger_tip_marker X=253.666 Y=11.275 Z=23.847 P=69.031670 Y=-62.587368 R=-10.231317
b_r_pinky0 X=262.885 Y=10.838 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=258.502 Y=9.633 Z=30.631 P=49.722534 Y=17.803879 R=85.116135
b_r_pinky2 X=256.611 Y=9.026 Z=28.287 P=74.845848 Y=27.929462 R=82.048668
b_r_pinky3 X=256.142 Y=8.777 Z=26.326 P=71.858200 Y=-11.829420 R=44.393593
r_pinky_finger_tip_marker X=255.364 Y=8.869 Z=24.275 P=71.858223 Y=-11.829419 R=44.393616
