Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 006_mustard_bottle X=275.953 Y=24.168 Z=114.392 P=-4.096590 Y=153.686768 R=85.334038
b_r_wrist X=266.292 Y=13.137 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=268.299 Y=12.087 Z=30.844 P=25.442329 Y=140.239838 R=138.090683
b_r_thumb1 X=270.024 Y=10.652 Z=29.777 P=55.732700 Y=151.855850 R=175.696381
b_r_thumb2 X=271.638 Y=9.788 Z=27.090 P=40.733051 Y=153.242554 R=156.450211
b_r_thumb3 X=273.925 Y=8.636 Z=24.885 P=50.212749 Y=130.866516 R=159.784393
r_thumb_finger_tip_marker X=274.949 Y=7.340 Z=23.058 P=50.212769 Y=130.866531 R=159.784393
b_r_index1 X=275.892 Y=10.781 Z=31.268 P=27.009243 Y=-167.726959 R=99.533455
b_r_index2 X=279.193 Y=11.499 Z=29.546 P=58.010815 Y=-161.458069 R=97.611877
b_r_index3 X=280.414 Y=11.909 Z=27.484 P=80.534721 Y=-116.305244 R=135.945450
r_index_finger_tip_marker X=280.665 Y=12.296 Z=25.294 P=80.534698 Y=-116.305168 R=135.945557
b_r_middle1 X=275.857 Y=12.963 Z=31.746 P=60.240955 Y=-155.855011 R=91.989319
b_r_middle2 X=277.801 Y=13.835 Z=28.019 P=85.526291 Y=18.114985 R=-97.124176
b_r_middle3 X=277.597 Y=13.768 Z=25.272 P=83.942253 Y=30.368429 R=-95.003227
r_middle_finger_tip_marker X=277.444 Y=13.726 Z=22.778 P=83.942223 Y=30.368570 R=-95.003098
b_r_ring1 X=275.162 Y=14.882 Z=31.347 P=66.079353 Y=-159.313232 R=72.591972
b_r_ring2 X=276.641 Y=15.441 Z=27.782 P=76.812355 Y=89.144981 R=-44.903503
b_r_ring3 X=276.632 Y=14.835 Z=25.195 P=68.235115 Y=92.060379 R=-43.106209
r_ring_finger_tip_marker X=276.760 Y=14.057 Z=22.888 P=68.235100 Y=92.060394 R=-43.106167
b_r_pinky0 X=269.700 Y=15.437 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=274.082 Y=16.642 Z=30.631 P=73.401062 Y=-157.844055 R=81.588646
b_r_pinky2 X=274.895 Y=16.972 Z=27.687 P=73.970886 Y=28.022921 R=-105.591972
b_r_pinky3 X=274.400 Y=16.709 Z=25.735 P=68.561409 Y=63.096989 R=-71.538239
r_pinky_finger_tip_marker X=274.138 Y=16.056 Z=23.655 P=68.561363 Y=63.096970 R=-71.538216
