Right
007_tuna_fish_can X=274.066 Y=9.611 Z=127.288 P=-42.576260 Y=66.168686 R=85.106956
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.950 Y=7.096 Z=30.844 P=26.816496 Y=141.992523 R=139.654938
b_r_thumb1 X=279.698 Y=5.731 Z=29.723 P=57.408413 Y=155.391434 R=178.733719
b_r_thumb2 X=281.290 Y=5.001 Z=26.984 P=41.048561 Y=151.500931 R=155.657333
b_r_thumb3 X=283.530 Y=3.785 Z=24.765 P=51.964218 Y=136.940765 R=164.596848
r_thumb_finger_tip_marker X=284.634 Y=2.642 Z=22.885 P=51.964218 Y=136.940781 R=164.596848
b_r_index1 X=285.543 Y=5.790 Z=31.268 P=11.630644 Y=-174.273499 R=97.657471
b_r_index2 X=289.239 Y=6.161 Z=30.504 P=29.465094 Y=-171.831177 R=92.381332
b_r_index3 X=291.334 Y=6.461 Z=29.308 P=31.252361 Y=-165.278458 R=91.456421
r_index_finger_tip_marker X=293.228 Y=6.987 Z=28.236 P=31.252361 Y=-165.278442 R=91.456444
b_r_middle1 X=285.508 Y=7.972 Z=31.746 P=27.335857 Y=-168.111160 R=89.209343
b_r_middle2 X=289.240 Y=8.758 Z=29.774 P=53.052380 Y=-169.075089 R=85.711563
b_r_middle3 X=290.866 Y=9.072 Z=27.573 P=56.844078 Y=-172.384537 R=72.700859
r_middle_finger_tip_marker X=292.293 Y=9.326 Z=25.537 P=56.844093 Y=-172.384552 R=72.700844
b_r_ring1 X=284.813 Y=9.892 Z=31.347 P=55.410194 Y=-163.454361 R=74.744179
b_r_ring2 X=286.935 Y=10.522 Z=28.137 P=77.635925 Y=126.212433 R=-0.615661
b_r_ring3 X=287.271 Y=10.063 Z=25.541 P=69.780403 Y=108.115166 R=-19.046434
r_ring_finger_tip_marker X=287.647 Y=9.377 Z=23.232 P=69.780396 Y=108.115173 R=-19.046406
b_r_pinky0 X=279.351 Y=10.446 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.733 Y=11.651 Z=30.631 P=59.867146 Y=-167.562820 R=82.218834
b_r_pinky2 X=285.239 Y=11.983 Z=27.974 P=79.213791 Y=-148.973831 R=88.431068
b_r_pinky3 X=285.565 Y=12.179 Z=25.979 P=75.065865 Y=161.642075 R=40.616386
r_pinky_finger_tip_marker X=286.215 Y=12.043 Z=23.886 P=75.065865 Y=161.642059 R=40.616360
