Left
007_tuna_fish_can X=279.175 Y=9.940 Z=122.297 P=-25.738405 Y=105.364006 R=-42.289032
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.937 Y=9.196 Z=30.844 P=30.567827 Y=-32.512569 R=144.613785
b_r_thumb1 X=272.132 Y=10.346 Z=29.581 P=51.193218 Y=-14.920336 R=-173.624557
b_r_thumb2 X=270.163 Y=10.871 Z=27.047 P=38.266403 Y=-4.182938 R=173.127533
b_r_thumb3 X=267.517 Y=11.065 Z=24.954 P=52.244690 Y=-22.707939 R=179.229187
r_thumb_finger_tip_marker X=266.118 Y=11.761 Z=23.052 P=52.244690 Y=-22.707920 R=179.229172
b_r_index1 X=266.344 Y=10.503 Z=31.268 P=30.965078 Y=6.673420 R=99.086380
b_r_index2 X=263.114 Y=10.125 Z=29.317 P=59.627728 Y=12.621168 R=97.163651
b_r_index3 X=261.915 Y=9.856 Z=27.220 P=57.146446 Y=22.905630 R=101.790474
r_index_finger_tip_marker X=260.718 Y=9.342 Z=25.399 P=57.146439 Y=22.905684 R=101.790512
b_r_middle1 X=266.379 Y=8.320 Z=31.746 P=37.995831 Y=8.762950 R=88.665703
b_r_middle2 X=263.035 Y=7.805 Z=29.103 P=72.971596 Y=3.784791 R=81.396889
b_r_middle3 X=262.230 Y=7.752 Z=26.469 P=65.496346 Y=7.627998 R=75.758736
r_middle_finger_tip_marker X=261.119 Y=7.544 Z=24.240 P=65.496330 Y=7.627964 R=75.758682
b_r_ring1 X=267.074 Y=6.401 Z=31.347 P=30.937771 Y=14.953584 R=78.010704
b_r_ring2 X=263.842 Y=5.538 Z=29.342 P=56.661594 Y=-0.866420 R=58.252865
b_r_ring3 X=262.382 Y=5.560 Z=27.122 P=55.950489 Y=-15.442562 R=45.128922
r_ring_finger_tip_marker X=260.958 Y=5.817 Z=25.160 P=55.950470 Y=-15.442589 R=45.128899
b_r_pinky0 X=272.536 Y=5.847 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.153 Y=4.642 Z=30.631 P=61.213409 Y=1.936242 R=79.140274
b_r_pinky2 X=266.675 Y=4.592 Z=27.938 P=83.993629 Y=13.157569 R=78.185150
b_r_pinky3 X=266.468 Y=4.544 Z=25.918 P=74.972305 Y=-31.596453 R=34.293694
r_pinky_finger_tip_marker X=265.865 Y=4.813 Z=23.824 P=74.972305 Y=-31.596453 R=34.293682
