Left
007_tuna_fish_can X=294.792 Y=6.616 Z=117.697 P=-67.795448 Y=135.963287 R=178.073349
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.937 Y=9.196 Z=30.844 P=19.218718 Y=-46.508144 R=132.172470
b_r_thumb1 X=272.321 Y=10.899 Z=30.026 P=37.573063 Y=-36.698814 R=167.068802
b_r_thumb2 X=270.255 Y=12.439 Z=28.044 P=36.713905 Y=15.379120 R=177.155136
b_r_thumb3 X=267.643 Y=11.720 Z=26.024 P=24.644209 Y=64.676498 R=-135.470795
r_thumb_finger_tip_marker X=266.583 Y=9.761 Z=24.976 P=24.644203 Y=64.676514 R=-135.470810
b_r_index1 X=266.344 Y=10.503 Z=31.268 P=21.707418 Y=3.629770 R=97.878532
b_r_index2 X=262.827 Y=10.280 Z=29.865 P=62.513180 Y=9.209911 R=95.418343
b_r_index3 X=261.720 Y=10.100 Z=27.709 P=60.566837 Y=20.722692 R=101.396614
r_index_finger_tip_marker X=260.609 Y=9.670 Z=25.814 P=60.566837 Y=20.722754 R=101.396667
b_r_middle1 X=266.379 Y=8.320 Z=31.746 P=28.626926 Y=12.297229 R=89.275154
b_r_middle2 X=262.697 Y=7.518 Z=29.689 P=80.911301 Y=-0.888810 R=74.081322
b_r_middle3 X=262.262 Y=7.525 Z=26.969 P=77.570480 Y=2.407206 R=67.696060
r_middle_finger_tip_marker X=261.637 Y=7.427 Z=24.551 P=77.570450 Y=2.407140 R=67.695930
b_r_ring1 X=267.074 Y=6.401 Z=31.347 P=37.943932 Y=19.546289 R=78.320000
b_r_ring2 X=264.176 Y=5.372 Z=28.949 P=70.443314 Y=-96.890366 R=-38.826542
b_r_ring3 X=264.282 Y=6.255 Z=26.445 P=56.628746 Y=-106.922134 R=-48.998894
r_ring_finger_tip_marker X=264.556 Y=7.450 Z=24.337 P=56.628738 Y=-106.922096 R=-48.998852
b_r_pinky0 X=272.536 Y=5.847 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.153 Y=4.642 Z=30.631 P=84.752373 Y=-66.736832 R=8.370950
b_r_pinky2 X=268.042 Y=4.900 Z=27.572 P=5.659207 Y=-154.049591 R=-96.684685
b_r_pinky3 X=269.860 Y=5.785 Z=27.371 P=-52.828300 Y=-133.371368 R=-102.302567
r_pinky_finger_tip_marker X=270.839 Y=6.818 Z=29.043 P=-52.828300 Y=-133.371353 R=-102.302589
