Left
008_pudding_box X=283.098 Y=16.492 Z=126.329 P=63.792213 Y=-34.603382 R=-121.795738
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.874 Y=61.885 Z=30.844 P=17.720673 Y=-47.908829 R=130.969330
b_r_thumb1 X=272.288 Y=63.642 Z=30.088 P=49.303696 Y=-43.746674 R=163.109177
b_r_thumb2 X=270.756 Y=65.108 Z=27.623 P=40.052299 Y=-26.983265 R=154.103851
b_r_thumb3 X=268.451 Y=66.282 Z=25.448 P=51.032883 Y=-39.841969 R=164.471680
r_thumb_finger_tip_marker X=267.261 Y=67.380 Z=23.594 P=51.032883 Y=-39.841957 R=164.471680
b_r_index1 X=266.282 Y=63.192 Z=31.268 P=3.509467 Y=15.879026 R=98.674461
b_r_index2 X=262.641 Y=62.156 Z=31.036 P=13.514068 Y=18.064215 R=92.954521
b_r_index3 X=260.394 Y=61.423 Z=30.468 P=26.701797 Y=23.953630 R=90.431335
r_index_finger_tip_marker X=258.538 Y=60.567 Z=29.555 P=26.701797 Y=23.953663 R=90.431358
b_r_middle1 X=266.317 Y=61.009 Z=31.746 P=10.960575 Y=16.955532 R=89.924126
b_r_middle2 X=262.285 Y=59.780 Z=30.929 P=20.770180 Y=17.517359 R=87.394409
b_r_middle3 X=259.829 Y=59.005 Z=29.952 P=39.398674 Y=10.783673 R=72.269035
r_middle_finger_tip_marker X=257.884 Y=58.569 Z=28.444 P=39.398685 Y=10.783662 R=72.269043
b_r_ring1 X=267.012 Y=59.090 Z=31.347 P=15.016717 Y=21.905151 R=79.849548
b_r_ring2 X=263.517 Y=57.685 Z=30.337 P=35.106384 Y=14.875386 R=68.539253
b_r_ring3 X=261.416 Y=57.127 Z=28.808 P=59.608753 Y=-23.762894 R=37.459763
r_ring_finger_tip_marker X=260.171 Y=57.518 Z=26.749 P=59.608753 Y=-23.762926 R=37.459759
b_r_pinky0 X=272.474 Y=58.536 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.091 Y=57.331 Z=30.631 P=56.676186 Y=11.771908 R=82.688774
b_r_pinky2 X=266.439 Y=56.987 Z=28.064 P=50.986702 Y=-145.492996 R=-88.971077
b_r_pinky3 X=267.493 Y=57.711 Z=26.486 P=32.250725 Y=-133.168793 R=-79.282196
r_pinky_finger_tip_marker X=268.685 Y=59.051 Z=25.219 P=32.250732 Y=-133.168793 R=-79.282211
