Right
008_pudding_box X=269.433 Y=20.142 Z=122.097 P=-2.041188 Y=95.307495 R=44.335854
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.888 Y=59.785 Z=30.844 P=30.613440 Y=147.562134 R=144.681702
b_r_thumb1 X=279.693 Y=58.638 Z=29.579 P=44.926449 Y=164.241425 R=-174.780304
b_r_thumb2 X=281.909 Y=58.013 Z=27.283 P=31.331074 Y=168.888260 R=167.513458
b_r_thumb3 X=284.741 Y=57.457 Z=25.526 P=44.378807 Y=158.776627 R=-179.187851
r_thumb_finger_tip_marker X=286.385 Y=56.707 Z=23.853 P=44.378815 Y=158.776642 R=-179.187851
b_r_index1 X=285.481 Y=58.479 Z=31.268 P=46.958298 Y=-167.149536 R=102.454208
b_r_index2 X=288.004 Y=59.054 Z=28.496 P=76.559143 Y=-146.138535 R=115.322830
b_r_index3 X=288.473 Y=59.369 Z=26.132 P=68.847801 Y=-137.368439 R=119.691849
r_index_finger_tip_marker X=289.155 Y=59.963 Z=24.084 P=68.847771 Y=-137.368378 R=119.691925
b_r_middle1 X=285.446 Y=60.661 Z=31.746 P=62.756252 Y=-172.065308 R=87.972801
b_r_middle2 X=287.392 Y=60.933 Z=27.929 P=79.461678 Y=19.211481 R=-83.236359
b_r_middle3 X=286.916 Y=60.767 Z=25.221 P=88.389648 Y=32.381664 R=-79.212601
r_middle_finger_tip_marker X=286.951 Y=60.800 Z=22.722 P=88.389648 Y=32.382195 R=-79.212158
b_r_ring1 X=284.751 Y=62.580 Z=31.347 P=63.588387 Y=-176.872711 R=67.799271
b_r_ring2 X=286.483 Y=62.675 Z=27.854 P=69.234146 Y=66.245071 R=-53.470722
b_r_ring3 X=286.103 Y=61.813 Z=25.370 P=62.977768 Y=75.087784 R=-46.312698
r_ring_finger_tip_marker X=285.939 Y=60.836 Z=23.142 P=62.977768 Y=75.087807 R=-46.312672
b_r_pinky0 X=279.289 Y=63.135 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.671 Y=64.340 Z=30.631 P=71.821373 Y=171.557907 R=71.116547
b_r_pinky2 X=284.619 Y=64.199 Z=27.712 P=72.515129 Y=20.038404 R=-92.608498
b_r_pinky3 X=284.046 Y=63.990 Z=25.775 P=65.171066 Y=48.157177 R=-65.556496
r_pinky_finger_tip_marker X=283.547 Y=63.323 Z=23.743 P=65.171066 Y=48.157177 R=-65.556511
