Left
008_pudding_box X=277.443 Y=18.321 Z=127.634 P=-30.715448 Y=-86.828156 R=-57.053822
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.874 Y=61.885 Z=30.844 P=29.312233 Y=-34.486225 R=142.824051
b_r_thumb1 X=272.088 Y=63.112 Z=29.628 P=52.899128 Y=-18.016584 R=-176.139893
b_r_thumb2 X=270.223 Y=63.719 Z=27.035 P=40.273602 Y=-5.971344 R=171.802032
b_r_thumb3 X=267.659 Y=63.987 Z=24.850 P=53.860329 Y=-23.780157 R=178.067703
r_thumb_finger_tip_marker X=266.320 Y=64.687 Z=22.906 P=53.860321 Y=-23.780140 R=178.067688
b_r_index1 X=266.282 Y=63.192 Z=31.268 P=32.729092 Y=5.793879 R=99.126587
b_r_index2 X=263.108 Y=62.870 Z=29.218 P=72.293297 Y=16.919477 R=102.076721
b_r_index3 X=262.401 Y=62.654 Z=26.902 P=68.600716 Y=31.545992 R=111.750198
r_index_finger_tip_marker X=261.615 Y=62.185 Z=24.859 P=68.600754 Y=31.546083 R=111.750305
b_r_middle1 X=266.317 Y=61.009 Z=31.746 P=45.760117 Y=3.264070 R=87.564125
b_r_middle2 X=263.327 Y=60.839 Z=28.670 P=80.525375 Y=-155.207993 R=-72.640198
b_r_middle3 X=263.738 Y=61.029 Z=25.953 P=87.807137 Y=-55.347466 R=18.028645
r_middle_finger_tip_marker X=263.584 Y=61.045 Z=23.458 P=87.806961 Y=-55.347443 R=18.028435
b_r_ring1 X=267.012 Y=59.090 Z=31.347 P=44.043926 Y=13.522499 R=76.284531
b_r_ring2 X=264.286 Y=58.435 Z=28.636 P=73.104698 Y=-87.605019 R=-26.933903
b_r_ring3 X=264.254 Y=59.206 Z=26.093 P=63.565254 Y=-94.921532 R=-34.782551
r_ring_finger_tip_marker X=264.221 Y=60.194 Z=23.865 P=63.565208 Y=-94.921486 R=-34.782505
b_r_pinky0 X=272.474 Y=58.536 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.091 Y=57.331 Z=30.631 P=58.804619 Y=12.241748 R=82.390160
b_r_pinky2 X=266.536 Y=56.994 Z=28.003 P=78.547081 Y=-143.882278 R=-87.081757
b_r_pinky3 X=266.862 Y=57.231 Z=26.012 P=72.456985 Y=-103.969589 R=-47.773491
r_pinky_finger_tip_marker X=266.908 Y=57.829 Z=23.900 P=72.456985 Y=-103.969597 R=-47.773491
