Right
008_pudding_box X=279.636 Y=26.768 Z=122.843 P=-77.332870 Y=-125.531792 R=-35.874672
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.888 Y=59.785 Z=30.844 P=27.138451 Y=142.420715 R=140.038483
b_r_thumb1 X=279.641 Y=58.436 Z=29.711 P=50.449875 Y=156.447586 R=179.001175
b_r_thumb2 X=281.539 Y=57.609 Z=27.204 P=37.759071 Y=165.494858 R=164.643814
b_r_thumb3 X=284.125 Y=56.940 Z=25.135 P=48.898006 Y=140.267487 R=166.441620
r_thumb_finger_tip_marker X=285.366 Y=55.799 Z=23.340 P=48.898006 Y=140.267487 R=166.441605
b_r_index1 X=285.481 Y=58.479 Z=31.268 P=48.865128 Y=-167.466431 R=102.812920
b_r_index2 X=287.916 Y=59.020 Z=28.412 P=69.635025 Y=-155.700607 R=106.911484
b_r_index3 X=288.687 Y=59.368 Z=26.133 P=56.403538 Y=-1.525333 R=-107.539925
r_index_finger_tip_marker X=287.525 Y=59.458 Z=24.221 P=56.403534 Y=-1.525373 R=-107.539970
b_r_middle1 X=285.446 Y=60.661 Z=31.746 P=63.319294 Y=-174.018051 R=87.444580
b_r_middle2 X=287.363 Y=60.862 Z=27.910 P=84.112762 Y=177.080383 R=75.951271
b_r_middle3 X=287.645 Y=60.848 Z=25.169 P=72.180000 Y=-169.519897 R=80.317039
r_middle_finger_tip_marker X=288.487 Y=61.054 Z=22.825 P=72.179977 Y=-169.519928 R=80.316971
b_r_ring1 X=284.751 Y=62.580 Z=31.347 P=60.989571 Y=-175.404678 R=69.496559
b_r_ring2 X=286.636 Y=62.732 Z=27.937 P=77.163101 Y=128.583725 R=7.832154
b_r_ring3 X=287.004 Y=62.270 Z=25.346 P=70.520142 Y=121.619118 R=0.206539
r_ring_finger_tip_marker X=287.554 Y=61.684 Z=23.044 P=70.520111 Y=121.619110 R=0.206549
b_r_pinky0 X=279.289 Y=63.135 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.671 Y=64.340 Z=30.631 P=84.792854 Y=118.262955 R=12.687815
b_r_pinky2 X=283.803 Y=64.094 Z=27.571 P=16.154400 Y=25.456825 R=-96.492119
b_r_pinky3 X=282.042 Y=63.255 Z=27.006 P=-31.503836 Y=40.589775 R=-95.537209
r_pinky_finger_tip_marker X=280.582 Y=61.988 Z=28.047 P=-31.503836 Y=40.589775 R=-95.537216
