Right
009_gelatin_box X=282.970 Y=23.999 Z=132.676 P=-19.631458 Y=-36.881081 R=165.857880
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.888 Y=59.785 Z=30.844 P=29.076147 Y=145.159256 R=142.503510
b_r_thumb1 X=279.671 Y=58.544 Z=29.637 P=51.374138 Y=161.218491 R=-176.912155
b_r_thumb2 X=281.592 Y=57.891 Z=27.097 P=36.431831 Y=160.397293 R=162.212311
b_r_thumb3 X=284.154 Y=56.979 Z=25.090 P=47.350746 Y=138.053314 R=166.507950
r_thumb_finger_tip_marker X=285.385 Y=55.759 Z=23.341 P=47.350761 Y=138.053329 R=166.507950
b_r_index1 X=285.481 Y=58.479 Z=31.268 P=16.366737 Y=-171.340042 R=98.281357
b_r_index2 X=289.078 Y=59.027 Z=30.199 P=37.893398 Y=-168.262497 R=93.518005
b_r_index3 X=290.956 Y=59.417 Z=28.707 P=30.282784 Y=-161.647644 R=93.258339
r_index_finger_tip_marker X=292.831 Y=60.064 Z=27.669 P=30.282784 Y=-161.647614 R=93.258354
b_r_middle1 X=285.446 Y=60.661 Z=31.746 P=29.767527 Y=-170.005234 R=88.906952
b_r_middle2 X=289.116 Y=61.308 Z=29.614 P=47.766323 Y=-170.295975 R=85.949265
b_r_middle3 X=290.941 Y=61.620 Z=27.574 P=54.290829 Y=-174.581635 R=72.053635
r_middle_finger_tip_marker X=292.465 Y=61.829 Z=25.605 P=54.290806 Y=-174.581665 R=72.053612
b_r_ring1 X=284.751 Y=62.580 Z=31.347 P=33.784958 Y=-165.559006 R=77.686844
b_r_ring2 X=287.890 Y=63.389 Z=29.178 P=52.199593 Y=-175.467941 R=62.588505
b_r_ring3 X=289.513 Y=63.517 Z=27.079 P=63.808868 Y=144.957123 R=27.194006
r_ring_finger_tip_marker X=290.518 Y=63.002 Z=24.918 P=63.808834 Y=144.957092 R=27.193987
b_r_pinky0 X=279.289 Y=63.135 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.671 Y=64.340 Z=30.631 P=40.142281 Y=-173.550705 R=83.950981
b_r_pinky2 X=286.005 Y=64.603 Z=28.650 P=81.378746 Y=161.188843 R=45.627819
b_r_pinky3 X=286.293 Y=64.505 Z=26.642 P=69.700829 Y=80.789742 R=-31.887646
r_pinky_finger_tip_marker X=286.293 Y=63.776 Z=24.571 P=69.700829 Y=80.789742 R=-31.887661
