Left
009_gelatin_box X=288.325 Y=15.524 Z=121.366 P=-71.968536 Y=111.654320 R=146.343369
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.874 Y=61.885 Z=30.844 P=29.207199 Y=-34.644562 R=142.680847
b_r_thumb1 X=272.090 Y=63.118 Z=29.632 P=53.076912 Y=-18.276728 R=-176.345993
b_r_thumb2 X=270.235 Y=63.731 Z=27.032 P=40.175655 Y=-8.561132 R=169.995895
b_r_thumb3 X=267.682 Y=64.115 Z=24.852 P=52.655712 Y=-7.316759 R=-169.353760
r_thumb_finger_tip_marker X=266.180 Y=64.422 Z=22.926 P=52.655724 Y=-7.316743 R=-169.353760
b_r_index1 X=266.282 Y=63.192 Z=31.268 P=0.874640 Y=9.126131 R=97.808830
b_r_index2 X=262.538 Y=62.590 Z=31.210 P=8.011429 Y=11.035754 R=91.949020
b_r_index3 X=260.176 Y=62.130 Z=30.872 P=13.580881 Y=16.616312 R=88.653976
r_index_finger_tip_marker X=258.079 Y=61.470 Z=30.445 P=13.580881 Y=16.616337 R=88.653969
b_r_middle1 X=266.317 Y=61.009 Z=31.746 P=18.602327 Y=13.810288 R=89.485298
b_r_middle2 X=262.366 Y=60.038 Z=30.376 P=35.737408 Y=13.850854 R=86.740211
b_r_middle3 X=260.195 Y=59.503 Z=28.767 P=44.528568 Y=9.705640 R=73.293404
r_middle_finger_tip_marker X=258.382 Y=59.129 Z=27.088 P=44.528572 Y=9.705622 R=73.293404
b_r_ring1 X=267.012 Y=59.090 Z=31.347 P=27.926613 Y=17.125576 R=78.602562
b_r_ring2 X=263.719 Y=58.075 Z=29.521 P=53.022514 Y=3.671153 R=61.171566
b_r_ring3 X=262.124 Y=57.973 Z=27.398 P=61.589901 Y=-28.091360 R=32.961147
r_ring_finger_tip_marker X=260.982 Y=58.414 Z=25.289 P=61.589867 Y=-28.091379 R=32.961121
b_r_pinky0 X=272.474 Y=58.536 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.091 Y=57.331 Z=30.631 P=50.455055 Y=3.650507 R=81.965118
b_r_pinky2 X=266.139 Y=57.206 Z=28.262 P=86.143791 Y=-73.593361 R=-8.149843
b_r_pinky3 X=266.101 Y=57.337 Z=26.235 P=71.298759 Y=-102.759537 R=-36.005310
r_pinky_finger_tip_marker X=266.135 Y=58.000 Z=24.142 P=71.298759 Y=-102.759514 R=-36.005306
