Right
009_gelatin_box X=276.179 Y=14.119 Z=133.903 P=-11.395992 Y=-35.551586 R=-154.971420
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.888 Y=59.785 Z=30.844 P=30.056841 Y=146.665512 R=143.867401
b_r_thumb1 X=279.685 Y=58.603 Z=29.600 P=45.247524 Y=162.997620 R=-175.848022
b_r_thumb2 X=281.874 Y=57.934 Z=27.291 P=33.653564 Y=-177.545013 R=175.370789
b_r_thumb3 X=284.685 Y=58.054 Z=25.418 P=47.229313 Y=178.242889 R=-167.762558
r_thumb_finger_tip_marker X=286.382 Y=57.888 Z=23.643 P=47.229313 Y=178.242905 R=-167.762573
b_r_index1 X=285.481 Y=58.479 Z=31.268 P=38.690243 Y=179.165695 R=98.652908
b_r_index2 X=288.441 Y=58.436 Z=28.897 P=85.136818 Y=-139.931732 R=131.496033
b_r_index3 X=288.598 Y=58.568 Z=26.476 P=79.809921 Y=-119.549438 R=147.582825
r_index_finger_tip_marker X=288.894 Y=58.946 Z=24.289 P=79.809921 Y=-119.549370 R=147.582901
b_r_middle1 X=285.446 Y=60.661 Z=31.746 P=66.766472 Y=-170.720337 R=88.152679
b_r_middle2 X=287.117 Y=60.934 Z=27.801 P=41.454224 Y=14.582334 R=-88.931519
b_r_middle3 X=285.119 Y=60.414 Z=25.977 P=-9.862260 Y=24.329880 R=-100.968285
r_middle_finger_tip_marker X=282.840 Y=59.441 Z=26.300 P=-9.862260 Y=24.329893 R=-100.968277
b_r_ring1 X=284.751 Y=62.580 Z=31.347 P=66.730560 Y=-170.217880 R=68.312164
b_r_ring2 X=286.269 Y=62.842 Z=27.765 P=33.808502 Y=45.685738 R=-77.915909
b_r_ring3 X=284.727 Y=61.262 Z=26.286 P=-19.516861 Y=42.304489 R=-80.279594
r_ring_finger_tip_marker X=282.992 Y=59.681 Z=26.945 P=-19.516874 Y=42.304523 R=-80.279587
b_r_pinky0 X=279.289 Y=63.135 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.671 Y=64.340 Z=30.631 P=63.899536 Y=-174.350464 R=79.337120
b_r_pinky2 X=285.016 Y=64.473 Z=27.872 P=42.164703 Y=29.870516 R=-91.006584
b_r_pinky3 X=283.711 Y=63.723 Z=26.509 P=-5.900313 Y=38.761211 R=-84.865173
r_pinky_finger_tip_marker X=282.023 Y=62.322 Z=26.616 P=-5.900306 Y=38.761204 R=-84.865181
