Left
009_gelatin_box X=276.871 Y=13.842 Z=123.216 P=0.688968 Y=-60.552002 R=-148.904404
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.874 Y=61.885 Z=30.844 P=30.526777 Y=-32.579617 R=144.552826
b_r_thumb1 X=272.071 Y=63.038 Z=29.582 P=50.184399 Y=-15.202085 R=-173.939957
b_r_thumb2 X=270.062 Y=63.584 Z=27.085 P=34.992085 Y=-18.210119 R=163.764114
b_r_thumb3 X=267.432 Y=64.449 Z=25.147 P=47.523235 Y=-26.320465 R=177.998947
r_thumb_finger_tip_marker X=265.941 Y=65.298 Z=23.381 P=47.523254 Y=-26.320461 R=177.998932
b_r_index1 X=266.282 Y=63.192 Z=31.268 P=39.898323 Y=-0.547839 R=98.851845
b_r_index2 X=263.372 Y=63.220 Z=28.835 P=74.037689 Y=10.626948 R=102.295502
b_r_index3 X=262.715 Y=63.096 Z=26.499 P=78.713661 Y=46.871754 R=133.205688
r_index_finger_tip_marker X=262.317 Y=62.742 Z=24.324 P=78.713722 Y=46.871895 R=133.205811
b_r_middle1 X=266.317 Y=61.009 Z=31.746 P=48.538223 Y=0.516121 R=86.958183
b_r_middle2 X=263.474 Y=60.984 Z=28.529 P=85.931473 Y=-42.031136 R=42.432995
b_r_middle3 X=263.329 Y=61.114 Z=25.781 P=85.606522 Y=-58.977848 R=15.517547
r_middle_finger_tip_marker X=263.129 Y=61.218 Z=23.291 P=85.606606 Y=-58.978024 R=15.517468
b_r_ring1 X=267.012 Y=59.090 Z=31.347 P=47.222198 Y=8.315056 R=74.610992
b_r_ring2 X=264.391 Y=58.707 Z=28.485 P=74.782074 Y=-67.195686 R=-4.079588
b_r_ring3 X=264.121 Y=59.350 Z=25.920 P=60.196850 Y=-106.568756 R=-42.171551
r_ring_finger_tip_marker X=264.336 Y=60.432 Z=23.746 P=60.196815 Y=-106.568703 R=-42.171509
b_r_pinky0 X=272.474 Y=58.536 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.091 Y=57.331 Z=30.631 P=62.713802 Y=4.352937 R=79.340469
b_r_pinky2 X=266.687 Y=57.224 Z=27.901 P=60.510338 Y=-150.946335 R=-89.531456
b_r_pinky3 X=267.561 Y=57.710 Z=26.133 P=48.239891 Y=-134.395920 R=-74.961952
r_pinky_finger_tip_marker X=268.485 Y=58.732 Z=24.423 P=48.239891 Y=-134.395905 R=-74.961960
