Right
010_potted_meat_can X=277.715 Y=22.129 Z=117.773 P=-45.296906 Y=83.292229 R=33.175137
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.888 Y=59.785 Z=30.844 P=26.022213 Y=140.965240 R=138.736893
b_r_thumb1 X=279.623 Y=58.379 Z=29.754 P=34.822662 Y=155.101151 R=176.347855
b_r_thumb2 X=282.044 Y=57.255 Z=27.897 P=25.715919 Y=174.058502 R=164.737442
b_r_thumb3 X=285.072 Y=56.940 Z=26.431 P=36.065441 Y=-169.229553 R=-166.508423
r_thumb_finger_tip_marker X=287.070 Y=57.202 Z=25.017 P=36.065437 Y=-169.229538 R=-166.508423
b_r_index1 X=285.481 Y=58.479 Z=31.268 P=25.907145 Y=-178.710281 R=97.807610
b_r_index2 X=288.891 Y=58.556 Z=29.611 P=61.326763 Y=-173.543610 R=95.172028
b_r_index3 X=290.050 Y=58.687 Z=27.479 P=73.429680 Y=-11.616792 R=-109.784019
r_index_finger_tip_marker X=289.519 Y=58.860 Z=25.311 P=73.429680 Y=-11.616898 R=-109.784142
b_r_middle1 X=285.446 Y=60.661 Z=31.746 P=44.664753 Y=-175.355362 R=87.844116
b_r_middle2 X=288.489 Y=60.908 Z=28.728 P=55.902519 Y=12.799738 R=-85.214317
b_r_middle3 X=286.983 Y=60.566 Z=26.447 P=49.806763 Y=14.933497 R=-93.993202
r_middle_finger_tip_marker X=285.498 Y=60.210 Z=24.468 P=49.806778 Y=14.933519 R=-93.993210
b_r_ring1 X=284.751 Y=62.580 Z=31.347 P=46.024475 Y=-172.970016 R=74.583076
b_r_ring2 X=287.438 Y=62.912 Z=28.541 P=59.140133 Y=53.585949 R=-58.735012
b_r_ring3 X=286.629 Y=61.815 Z=26.259 P=39.100883 Y=48.707417 R=-63.715710
r_ring_finger_tip_marker X=285.484 Y=60.439 Z=24.605 P=39.100876 Y=48.707436 R=-63.715691
b_r_pinky0 X=279.289 Y=63.135 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.671 Y=64.340 Z=30.631 P=50.998531 Y=174.716003 R=79.997932
b_r_pinky2 X=285.596 Y=64.161 Z=28.243 P=60.030769 Y=26.178007 R=-81.092415
b_r_pinky3 X=284.686 Y=63.714 Z=26.484 P=33.238964 Y=33.779079 R=-73.631973
r_pinky_finger_tip_marker X=283.244 Y=62.680 Z=25.190 P=33.238964 Y=33.779079 R=-73.631981
