Right
010_potted_meat_can X=271.202 Y=25.928 Z=127.678 P=-30.079878 Y=-104.876175 R=21.104921
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.888 Y=59.785 Z=30.844 P=28.817680 Y=144.776672 R=142.157974
b_r_thumb1 X=279.667 Y=58.529 Z=29.646 P=46.256462 Y=160.265228 R=-178.135101
b_r_thumb2 X=281.783 Y=57.770 Z=27.298 P=31.270721 Y=159.739441 R=161.237701
b_r_thumb3 X=284.492 Y=56.770 Z=25.543 P=41.865837 Y=136.743576 R=166.701614
r_thumb_finger_tip_marker X=285.811 Y=55.413 Z=23.968 P=41.865852 Y=136.743607 R=166.701599
b_r_index1 X=285.481 Y=58.479 Z=31.268 P=26.092844 Y=-179.718109 R=97.660362
b_r_index2 X=288.887 Y=58.496 Z=29.600 P=53.019623 Y=-175.910782 R=93.891129
b_r_index3 X=290.345 Y=58.600 Z=27.659 P=48.297340 Y=-167.371216 R=96.441032
r_index_finger_tip_marker X=291.869 Y=58.960 Z=26.059 P=48.297348 Y=-167.371201 R=96.441055
b_r_middle1 X=285.446 Y=60.661 Z=31.746 P=49.712505 Y=-175.969543 R=87.594307
b_r_middle2 X=288.215 Y=60.856 Z=28.471 P=87.379662 Y=80.376335 R=-18.162291
b_r_middle3 X=288.194 Y=60.732 Z=25.719 P=86.823059 Y=119.827141 R=11.487386
r_middle_finger_tip_marker X=288.361 Y=60.677 Z=23.226 P=86.822998 Y=119.826988 R=11.487246
b_r_ring1 X=284.751 Y=62.580 Z=31.347 P=49.964676 Y=-168.077682 R=74.843315
b_r_ring2 X=287.205 Y=63.099 Z=28.361 P=75.713356 Y=129.280136 R=8.029280
b_r_ring3 X=287.620 Y=62.591 Z=25.786 P=67.607765 Y=100.206558 R=-20.763412
r_ring_finger_tip_marker X=287.910 Y=61.778 Z=23.506 P=67.607750 Y=100.206589 R=-20.763384
b_r_pinky0 X=279.289 Y=63.135 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.671 Y=64.340 Z=30.631 P=84.874771 Y=81.754082 R=-26.951914
b_r_pinky2 X=283.632 Y=64.068 Z=27.571 P=11.224009 Y=28.378323 R=-97.640030
b_r_pinky3 X=281.879 Y=63.121 Z=27.176 P=-36.591496 Y=45.533504 R=-98.570198
r_pinky_finger_tip_marker X=280.599 Y=61.808 Z=28.383 P=-36.591492 Y=45.533508 R=-98.570206
