Left
010_potted_meat_can X=285.292 Y=7.717 Z=108.308 P=-34.440067 Y=162.902130 R=17.195492
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.874 Y=61.885 Z=30.844 P=15.628708 Y=-49.753098 R=129.401520
b_r_thumb1 X=272.328 Y=63.712 Z=30.175 P=28.079042 Y=-39.209518 R=163.717590
b_r_thumb2 X=270.105 Y=65.525 Z=28.645 P=30.719786 Y=0.287455 R=161.359512
b_r_thumb3 X=267.200 Y=65.511 Z=26.918 P=33.355221 Y=46.396198 R=-152.451874
r_thumb_finger_tip_marker X=265.691 Y=64.103 Z=25.576 P=33.355225 Y=46.396217 R=-152.451874
b_r_index1 X=266.282 Y=63.192 Z=31.268 P=10.201884 Y=8.136238 R=97.929939
b_r_index2 X=262.587 Y=62.663 Z=30.596 P=33.070011 Y=10.914960 R=92.766090
b_r_index3 X=260.587 Y=62.278 Z=29.270 P=82.652565 Y=175.993042 R=-109.427444
r_index_finger_tip_marker X=260.782 Y=62.202 Z=27.041 P=82.652565 Y=175.992874 R=-109.427689
b_r_middle1 X=266.317 Y=61.009 Z=31.746 P=27.739344 Y=10.491143 R=88.988533
b_r_middle2 X=262.581 Y=60.317 Z=29.747 P=57.458500 Y=8.754072 R=84.866570
b_r_middle3 X=261.116 Y=60.092 Z=27.425 P=58.293789 Y=6.738942 R=73.137428
r_middle_finger_tip_marker X=259.736 Y=59.866 Z=25.354 P=58.293777 Y=6.738919 R=73.137405
b_r_ring1 X=267.012 Y=59.090 Z=31.347 P=79.140388 Y=-95.895515 R=-29.435316
b_r_ring2 X=267.087 Y=59.821 Z=27.517 P=-6.646334 Y=-148.003204 R=-83.449730
b_r_ring3 X=269.326 Y=61.219 Z=27.825 P=-61.670395 Y=-145.670914 R=-86.855186
r_ring_finger_tip_marker X=270.406 Y=61.937 Z=29.889 P=-61.670395 Y=-145.670883 R=-86.855217
b_r_pinky0 X=272.474 Y=58.536 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.091 Y=57.331 Z=30.631 P=80.436043 Y=-131.107391 R=-49.733269
b_r_pinky2 X=268.427 Y=57.716 Z=27.601 P=1.445357 Y=-161.188583 R=-97.041954
b_r_pinky3 X=270.349 Y=58.370 Z=27.550 P=-49.588943 Y=-140.750275 R=-102.904846
r_pinky_finger_tip_marker X=271.524 Y=59.327 Z=29.139 P=-49.588943 Y=-140.750259 R=-102.904861
