Left
010_potted_meat_can X=264.431 Y=14.636 Z=130.079 P=36.738388 Y=179.936859 R=79.130211
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.874 Y=61.885 Z=30.844 P=21.326876 Y=-44.406593 R=133.995438
b_r_thumb1 X=272.221 Y=63.505 Z=29.941 P=46.709068 Y=-35.481403 R=169.057220
b_r_thumb2 X=270.405 Y=64.799 Z=27.574 P=36.747540 Y=-19.818253 R=158.644379
b_r_thumb3 X=267.858 Y=65.717 Z=25.552 P=49.190628 Y=-19.603952 R=178.581177
r_thumb_finger_tip_marker X=266.328 Y=66.369 Z=23.736 P=49.190639 Y=-19.603941 R=178.581177
b_r_index1 X=266.282 Y=63.192 Z=31.268 P=21.474161 Y=13.498595 R=99.243614
b_r_index2 X=262.850 Y=62.368 Z=29.880 P=50.891285 Y=18.426704 R=95.955200
b_r_index3 X=261.396 Y=61.883 Z=27.994 P=56.559841 Y=29.037315 R=100.161140
r_index_finger_tip_marker X=260.246 Y=61.232 Z=26.186 P=56.559818 Y=29.037355 R=100.161163
b_r_middle1 X=266.317 Y=61.009 Z=31.746 P=43.420834 Y=12.997410 R=89.384964
b_r_middle2 X=263.279 Y=60.308 Z=28.795 P=87.759979 Y=-32.312286 R=41.667427
b_r_middle3 X=263.188 Y=60.366 Z=26.042 P=84.724808 Y=-4.990793 R=59.321281
r_middle_finger_tip_marker X=262.870 Y=60.308 Z=23.564 P=84.724808 Y=-4.990916 R=59.321144
b_r_ring1 X=267.012 Y=59.090 Z=31.347 P=48.251644 Y=15.718926 R=76.075104
b_r_ring2 X=264.512 Y=58.387 Z=28.438 P=75.702614 Y=-69.915413 R=-13.072336
b_r_ring3 X=264.287 Y=59.003 Z=25.862 P=64.908829 Y=-91.383583 R=-34.488087
r_ring_finger_tip_marker X=264.191 Y=59.935 Z=23.612 P=64.908783 Y=-91.383537 R=-34.488029
b_r_pinky0 X=272.474 Y=58.536 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.091 Y=57.331 Z=30.631 P=64.485176 Y=13.148479 R=81.315102
b_r_pinky2 X=266.803 Y=57.030 Z=27.858 P=47.382271 Y=-145.648117 R=-92.358963
b_r_pinky3 X=267.938 Y=57.806 Z=26.364 P=27.304903 Y=-132.789764 R=-82.937019
r_pinky_finger_tip_marker X=269.196 Y=59.223 Z=25.253 P=27.304903 Y=-132.789764 R=-82.937035
