Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 011_banana X=276.287 Y=20.585 Z=121.935 P=1.004687 Y=-24.320585 R=103.796761
b_r_wrist X=266.292 Y=13.137 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=268.299 Y=12.087 Z=30.844 P=25.581652 Y=140.412308 R=138.244171
b_r_thumb1 X=270.027 Y=10.659 Z=29.771 P=50.323349 Y=152.844513 R=176.022308
b_r_thumb2 X=271.874 Y=9.711 Z=27.269 P=35.195801 Y=153.678391 R=156.321259
b_r_thumb3 X=274.349 Y=8.487 Z=25.321 P=46.228046 Y=139.814209 R=166.768494
r_thumb_finger_tip_marker X=275.643 Y=7.283 Z=23.607 P=46.228065 Y=139.814224 R=166.768494
b_r_index1 X=275.892 Y=10.781 Z=31.268 P=43.498089 Y=-171.530090 R=101.016159
b_r_index2 X=278.613 Y=11.186 Z=28.658 P=81.991768 Y=-136.536835 R=127.638542
b_r_index3 X=278.858 Y=11.419 Z=26.251 P=57.399963 Y=-5.605798 R=-108.528290
r_index_finger_tip_marker X=277.739 Y=11.590 Z=24.320 P=57.399952 Y=-5.605837 R=-108.528313
b_r_middle1 X=275.857 Y=12.963 Z=31.746 P=53.536167 Y=-173.211700 R=88.037003
b_r_middle2 X=278.390 Y=13.265 Z=28.293 P=73.094467 Y=17.456429 R=-83.398567
b_r_middle3 X=277.626 Y=13.025 Z=25.657 P=71.769028 Y=20.267136 R=-90.764328
r_middle_finger_tip_marker X=276.983 Y=12.822 Z=23.251 P=71.769028 Y=20.267185 R=-90.764282
b_r_ring1 X=275.162 Y=14.882 Z=31.347 P=53.531395 Y=-167.122269 R=74.247345
b_r_ring2 X=277.421 Y=15.399 Z=28.211 P=70.863869 Y=76.283546 R=-45.641201
b_r_ring3 X=277.215 Y=14.553 Z=25.700 P=58.813595 Y=72.303795 R=-50.338165
r_ring_finger_tip_marker X=276.947 Y=13.442 Z=23.547 P=58.813568 Y=72.303795 R=-50.338127
b_r_pinky0 X=269.700 Y=15.437 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=274.082 Y=16.642 Z=30.631 P=58.878857 Y=-169.939148 R=81.822311
b_r_pinky2 X=275.646 Y=16.919 Z=28.001 P=78.179314 Y=35.515285 R=-85.972015
b_r_pinky3 X=275.307 Y=16.677 Z=26.013 P=65.089226 Y=60.660130 R=-60.949116
r_pinky_finger_tip_marker X=274.967 Y=15.907 Z=23.985 P=65.089256 Y=60.660156 R=-60.949135
