Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 011_banana X=276.332 Y=20.944 Z=113.819 P=18.778648 Y=9.673513 R=43.894665
b_r_wrist X=266.292 Y=13.137 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=268.299 Y=12.087 Z=30.844 P=22.869726 Y=137.241989 R=135.439133
b_r_thumb1 X=269.980 Y=10.533 Z=29.879 P=40.600090 Y=148.863068 R=171.802689
b_r_thumb2 X=272.093 Y=9.256 Z=27.763 P=35.264149 Y=-173.534958 R=173.405792
b_r_thumb3 X=274.835 Y=9.567 Z=25.812 P=24.378706 Y=-121.434731 R=-138.198914
r_thumb_finger_tip_marker X=276.103 Y=11.408 Z=24.780 P=24.378706 Y=-121.434731 R=-138.198929
b_r_index1 X=275.892 Y=10.781 Z=31.268 P=39.247677 Y=-175.545242 R=99.670227
b_r_index2 X=278.820 Y=11.009 Z=28.869 P=84.121422 Y=-133.896118 R=132.963867
b_r_index3 X=278.992 Y=11.188 Z=26.451 P=52.142567 Y=-4.764266 R=-104.902039
r_index_finger_tip_marker X=277.701 Y=11.351 Z=24.629 P=52.142559 Y=-4.764303 R=-104.902061
b_r_middle1 X=275.857 Y=12.963 Z=31.746 P=51.403999 Y=-176.520416 R=87.427902
b_r_middle2 X=278.530 Y=13.126 Z=28.391 P=67.225723 Y=14.096457 R=-83.660919
b_r_middle3 X=277.495 Y=12.866 Z=25.850 P=59.600574 Y=16.704788 R=-91.940788
r_middle_finger_tip_marker X=276.369 Y=12.564 Z=23.640 P=59.600574 Y=16.704823 R=-91.940758
b_r_ring1 X=275.162 Y=14.882 Z=31.347 P=46.765583 Y=-167.113647 R=75.692184
b_r_ring2 X=277.766 Y=15.478 Z=28.506 P=70.443924 Y=78.032341 R=-41.199467
b_r_ring3 X=277.581 Y=14.608 Z=26.002 P=54.475296 Y=66.229462 R=-52.942238
r_ring_finger_tip_marker X=277.129 Y=13.391 Z=23.938 P=54.475277 Y=66.229469 R=-52.942192
b_r_pinky0 X=269.700 Y=15.437 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=274.082 Y=16.642 Z=30.631 P=50.948689 Y=-173.673660 R=82.453476
b_r_pinky2 X=276.006 Y=16.855 Z=28.245 P=72.553078 Y=37.987995 R=-79.138710
b_r_pinky3 X=275.526 Y=16.480 Z=26.307 P=57.008942 Y=53.517529 R=-63.842827
r_pinky_finger_tip_marker X=274.926 Y=15.541 Z=24.415 P=57.008945 Y=53.517525 R=-63.842838
