Left
BP_PickupCubeDataset_C_0.StaticMeshComponent0 011_banana X=278.600 Y=8.454 Z=118.987 P=-9.458261 Y=83.941513 R=61.759235
b_r_wrist X=275.633 Y=5.896 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.627 Y=6.946 Z=30.844 P=29.472387 Y=-34.242889 R=143.044220
b_r_thumb1 X=271.838 Y=8.163 Z=29.622 P=53.927895 Y=-17.459057 R=-175.583282
b_r_thumb2 X=270.012 Y=8.738 Z=26.994 P=39.544926 Y=-16.292286 R=164.862808
b_r_thumb3 X=267.511 Y=9.469 Z=24.842 P=51.804710 Y=-12.894435 R=-172.886429
r_thumb_finger_tip_marker X=266.012 Y=9.925 Z=22.943 P=51.804710 Y=-12.894416 R=-172.886429
b_r_index1 X=266.034 Y=8.252 Z=31.268 P=42.439838 Y=16.805820 R=102.233719
b_r_index2 X=263.355 Y=7.443 Z=28.709 P=78.136902 Y=42.730793 R=119.555992
b_r_index3 X=262.988 Y=7.104 Z=26.330 P=77.696136 Y=139.206100 R=-149.921341
r_index_finger_tip_marker X=263.262 Y=6.731 Z=24.140 P=77.696136 Y=139.206055 R=-149.921417
b_r_middle1 X=266.069 Y=6.070 Z=31.746 P=58.229668 Y=14.679763 R=89.701927
b_r_middle2 X=263.882 Y=5.497 Z=28.096 P=71.739449 Y=-160.186035 R=-87.824951
b_r_middle3 X=264.695 Y=5.790 Z=25.480 P=81.446304 Y=-163.139725 R=-99.753250
r_middle_finger_tip_marker X=264.963 Y=5.819 Z=22.995 P=81.446304 Y=-163.139618 R=-99.753151
b_r_ring1 X=266.764 Y=4.151 Z=31.347 P=62.453785 Y=11.507037 R=70.952332
b_r_ring2 X=264.997 Y=3.791 Z=27.889 P=75.473175 Y=-91.977081 R=-37.695068
b_r_ring3 X=265.020 Y=4.457 Z=25.317 P=50.256615 Y=-117.592163 R=-62.485451
r_ring_finger_tip_marker X=265.639 Y=5.754 Z=23.348 P=50.256607 Y=-117.592140 R=-62.485420
b_r_pinky0 X=272.226 Y=3.597 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=267.843 Y=2.392 Z=30.631 P=71.785507 Y=-0.703840 R=73.899117
b_r_pinky2 X=266.883 Y=2.404 Z=27.713 P=85.015938 Y=-169.386154 R=-106.534500
b_r_pinky3 X=267.057 Y=2.436 Z=25.689 P=79.273079 Y=-86.073402 R=-23.275509
r_pinky_finger_tip_marker X=266.909 Y=2.810 Z=23.531 P=79.273079 Y=-86.073387 R=-23.275518
