Right
BP_PickupCubeDataset_C_0.StaticMeshComponent0 011_banana X=272.357 Y=23.313 Z=118.968 P=-25.659189 Y=-70.848648 R=139.505020
b_r_wrist X=275.633 Y=5.896 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.640 Y=4.846 Z=30.844 P=22.025576 Y=136.327499 R=134.636871
b_r_thumb1 X=279.307 Y=3.255 Z=29.912 P=45.690983 Y=146.172867 R=170.236832
b_r_thumb2 X=281.193 Y=1.991 Z=27.586 P=26.828859 Y=141.266876 R=147.442307
b_r_thumb3 X=283.546 Y=0.104 Z=26.061 P=37.016544 Y=129.836792 R=160.973175
r_thumb_finger_tip_marker X=284.783 Y=-1.497 Z=24.658 P=37.016563 Y=129.836807 R=160.973175
b_r_index1 X=285.233 Y=3.540 Z=31.268 P=47.370293 Y=-172.227203 R=101.592758
b_r_index2 X=287.778 Y=3.887 Z=28.478 P=63.188339 Y=-5.553488 R=-101.336975
b_r_index3 X=286.687 Y=3.993 Z=26.309 P=64.948624 Y=-21.253923 R=-119.545135
r_index_finger_tip_marker X=285.895 Y=4.383 Z=24.251 P=64.948624 Y=-21.253986 R=-119.545212
b_r_middle1 X=285.198 Y=5.722 Z=31.746 P=84.970779 Y=-152.913696 R=97.354897
b_r_middle2 X=285.533 Y=5.893 Z=27.469 P=12.056191 Y=22.221355 R=-91.535240
b_r_middle3 X=283.039 Y=4.874 Z=26.894 P=-6.480633 Y=27.027157 R=-102.966675
r_middle_finger_tip_marker X=280.794 Y=3.791 Z=27.072 P=-6.480633 Y=27.027172 R=-102.966698
b_r_ring1 X=284.503 Y=7.641 Z=31.347 P=79.999474 Y=83.248894 R=-38.774292
b_r_ring2 X=284.423 Y=6.969 Z=27.507 P=4.071837 Y=41.514034 R=-85.008400
b_r_ring3 X=282.439 Y=5.212 Z=27.318 P=-33.555927 Y=46.022182 R=-87.791618
r_ring_finger_tip_marker X=280.955 Y=3.702 Z=28.528 P=-33.555939 Y=46.022205 R=-87.791626
b_r_pinky0 X=279.041 Y=8.195 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.424 Y=9.400 Z=30.631 P=85.260201 Y=85.497147 R=-24.820320
b_r_pinky2 X=283.404 Y=9.147 Z=27.569 P=14.368525 Y=29.564510 R=-97.812881
b_r_pinky3 X=281.692 Y=8.176 Z=27.065 P=-26.265047 Y=45.168102 R=-96.784142
r_pinky_finger_tip_marker X=280.275 Y=6.736 Z=27.924 P=-26.265047 Y=45.168098 R=-96.784157
