Right
012_strawberry X=286.535 Y=20.660 Z=124.310 P=24.953739 Y=82.985855 R=43.735199
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=288.845 Y=64.301 Z=30.844 P=24.153276 Y=138.695435 R=136.720657
b_r_thumb1 X=290.548 Y=62.804 Z=29.828 P=53.454189 Y=149.032074 R=173.227005
b_r_thumb2 X=292.208 Y=61.808 Z=27.215 P=40.923782 Y=158.636063 R=159.690445
b_r_thumb3 X=294.586 Y=60.878 Z=25.002 P=52.012810 Y=140.987869 R=166.296539
r_thumb_finger_tip_marker X=295.764 Y=59.815 Z=23.119 P=52.012810 Y=140.987869 R=166.296539
b_r_index1 X=296.437 Y=62.994 Z=31.268 P=53.365200 Y=167.931625 R=98.371529
b_r_index2 X=298.650 Y=62.521 Z=28.225 P=86.343437 Y=-63.656757 R=-140.597763
b_r_index3 X=298.582 Y=62.660 Z=25.799 P=79.602882 Y=-133.085831 R=146.318787
r_index_finger_tip_marker X=298.962 Y=62.966 Z=23.614 P=79.602882 Y=-133.085770 R=146.318893
b_r_middle1 X=296.403 Y=65.177 Z=31.746 P=83.325935 Y=-158.918365 R=93.150604
b_r_middle2 X=296.868 Y=65.356 Z=27.482 P=-1.868070 Y=20.800299 R=-91.175758
b_r_middle3 X=294.294 Y=64.379 Z=27.572 P=-50.979893 Y=38.813438 R=-114.954811
r_middle_finger_tip_marker X=292.967 Y=63.409 Z=29.455 P=-50.979881 Y=38.813450 R=-114.954811
b_r_ring1 X=295.708 Y=67.096 Z=31.347 P=79.473900 Y=80.793861 R=-39.769512
b_r_ring2 X=295.594 Y=66.393 Z=27.513 P=-9.704401 Y=38.872627 R=-85.029343
b_r_ring3 X=293.554 Y=64.749 Z=27.961 P=-70.067299 Y=44.755028 R=-91.447372
r_ring_finger_tip_marker X=292.838 Y=64.080 Z=30.193 P=-70.067284 Y=44.755081 R=-91.447411
b_r_pinky0 X=290.246 Y=67.650 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=294.628 Y=68.855 Z=30.631 P=79.486732 Y=44.455151 R=-58.861206
b_r_pinky2 X=294.228 Y=68.463 Z=27.610 P=-5.973089 Y=24.201447 R=-98.379890
b_r_pinky3 X=292.385 Y=67.634 Z=27.822 P=-59.116539 Y=52.323582 R=-111.830368
r_pinky_finger_tip_marker X=291.616 Y=66.675 Z=29.640 P=-59.116539 Y=52.323586 R=-111.830383
