Left
012_strawberry X=274.212 Y=14.696 Z=123.012 P=65.885002 Y=-179.258530 R=95.993538
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=284.831 Y=66.401 Z=30.844 P=23.866907 Y=-41.635780 R=136.427917
b_r_thumb1 X=283.133 Y=67.911 Z=29.839 P=53.713779 Y=-31.708307 R=172.658798
b_r_thumb2 X=281.496 Y=68.922 Z=27.218 P=41.504078 Y=-20.937431 R=159.995361
b_r_thumb3 X=279.132 Y=69.827 Z=24.979 P=53.934860 Y=-19.572031 R=-179.189163
r_thumb_finger_tip_marker X=277.753 Y=70.427 Z=23.030 P=53.934860 Y=-19.572010 R=-179.189178
b_r_index1 X=277.239 Y=67.707 Z=31.268 P=69.585304 Y=27.523302 R=116.069252
b_r_index2 X=276.065 Y=67.096 Z=27.714 P=79.504112 Y=135.450912 R=-144.058441
b_r_index3 X=276.381 Y=66.785 Z=25.324 P=75.242096 Y=112.653008 R=-170.434296
r_index_finger_tip_marker X=276.507 Y=66.208 Z=23.165 P=75.242081 Y=112.653023 R=-170.434296
b_r_middle1 X=277.273 Y=65.525 Z=31.746 P=87.610161 Y=35.614784 R=105.832176
b_r_middle2 X=277.128 Y=65.421 Z=27.457 P=-3.377556 Y=-157.365204 R=-91.668945
b_r_middle3 X=279.666 Y=66.479 Z=27.619 P=-56.953201 Y=-133.767456 R=-120.601830
r_middle_finger_tip_marker X=280.717 Y=67.454 Z=29.667 P=-56.953194 Y=-133.767426 R=-120.601845
b_r_ring1 X=277.968 Y=63.606 Z=31.347 P=78.975815 Y=-102.479309 R=-43.405411
b_r_ring2 X=278.129 Y=64.334 Z=27.519 P=-9.936470 Y=-140.743607 R=-85.227119
b_r_ring3 X=280.156 Y=65.990 Z=27.978 P=-70.351250 Y=-134.280228 R=-92.105438
r_ring_finger_tip_marker X=280.855 Y=66.661 Z=30.215 P=-70.351219 Y=-134.280182 R=-92.105438
b_r_pinky0 X=283.430 Y=63.052 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=279.048 Y=61.847 Z=30.631 P=80.608772 Y=-131.498779 R=-55.903198
b_r_pinky2 X=279.380 Y=62.222 Z=27.600 P=-1.797952 Y=-155.098907 R=-98.161148
b_r_pinky3 X=281.221 Y=63.077 Z=27.664 P=-60.148399 Y=-127.077736 R=-110.865829
r_pinky_finger_tip_marker X=281.959 Y=64.020 Z=29.504 P=-60.148399 Y=-127.077736 R=-110.865852
