Right
012_strawberry X=272.695 Y=16.163 Z=125.625 P=-51.256634 Y=136.771576 R=-34.006615
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=288.845 Y=64.301 Z=30.844 P=36.805386 Y=160.801224 R=156.867615
b_r_thumb1 X=290.724 Y=63.647 Z=29.356 P=45.426105 Y=-178.285904 R=-158.994888
b_r_thumb2 X=293.005 Y=63.715 Z=27.039 P=31.305931 Y=-175.496536 R=-177.967911
b_r_thumb3 X=295.883 Y=63.942 Z=25.284 P=48.478622 Y=163.723541 R=-172.254562
r_thumb_finger_tip_marker X=297.455 Y=63.367 Z=23.477 P=48.478638 Y=163.723572 R=-172.254578
b_r_index1 X=296.437 Y=62.994 Z=31.268 P=22.860819 Y=177.368225 R=96.972870
b_r_index2 X=299.928 Y=62.834 Z=29.795 P=41.004005 Y=179.911255 R=92.187424
b_r_index3 X=301.762 Y=62.831 Z=28.200 P=36.764263 Y=-172.852524 R=92.665718
r_index_finger_tip_marker X=303.599 Y=63.086 Z=26.945 P=36.764263 Y=-172.852493 R=92.665726
b_r_middle1 X=296.403 Y=65.177 Z=31.746 P=30.642796 Y=-173.383926 R=88.363503
b_r_middle2 X=300.071 Y=65.602 Z=29.558 P=49.715534 Y=-174.072739 R=85.127548
b_r_middle3 X=301.843 Y=65.786 Z=27.456 P=47.036217 Y=-174.256989 R=75.298019
r_middle_finger_tip_marker X=303.604 Y=66.023 Z=25.699 P=47.036209 Y=-174.257004 R=75.297997
b_r_ring1 X=295.708 Y=67.096 Z=31.347 P=43.506588 Y=-168.304535 R=75.982971
b_r_ring2 X=298.477 Y=67.669 Z=28.662 P=65.248627 Y=171.562424 R=50.880180
b_r_ring3 X=299.578 Y=67.506 Z=26.249 P=65.055473 Y=146.154083 R=26.716909
r_ring_finger_tip_marker X=300.553 Y=67.039 Z=24.064 P=65.055473 Y=146.154068 R=26.716908
b_r_pinky0 X=290.246 Y=67.650 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=294.628 Y=68.855 Z=30.631 P=67.967278 Y=158.353592 R=69.502510
b_r_pinky2 X=295.699 Y=68.430 Z=27.783 P=81.128242 Y=178.377747 R=78.464607
b_r_pinky3 X=296.012 Y=68.421 Z=25.776 P=70.759033 Y=146.822617 R=47.838951
r_pinky_finger_tip_marker X=296.736 Y=68.024 Z=23.742 P=70.759033 Y=146.822617 R=47.838940
