Left
012_strawberry X=279.633 Y=16.349 Z=132.811 P=-48.375809 Y=-42.996021 R=-130.638138
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=284.831 Y=66.401 Z=30.844 P=32.216640 Y=-29.658695 R=147.216309
b_r_thumb1 X=283.004 Y=67.441 Z=29.519 P=42.574837 Y=-12.397051 R=-171.913605
b_r_thumb2 X=280.666 Y=67.955 Z=27.320 P=29.923815 Y=0.494666 R=174.737411
b_r_thumb3 X=277.737 Y=67.930 Z=25.634 P=44.607700 Y=-14.195131 R=-174.837555
r_thumb_finger_tip_marker X=276.027 Y=68.474 Z=23.948 P=44.607708 Y=-14.195117 R=-174.837555
b_r_index1 X=277.239 Y=67.707 Z=31.268 P=28.119820 Y=-2.948797 R=97.279633
b_r_index2 X=273.898 Y=67.879 Z=29.481 P=61.407524 Y=1.568991 R=94.252510
b_r_index3 X=272.735 Y=67.848 Z=27.347 P=59.983921 Y=12.935379 R=100.009232
r_index_finger_tip_marker X=271.558 Y=67.566 Z=25.463 P=59.983906 Y=12.935424 R=100.009247
b_r_middle1 X=277.273 Y=65.525 Z=31.746 P=44.266022 Y=-4.085866 R=86.292038
b_r_middle2 X=274.207 Y=65.744 Z=28.749 P=81.874802 Y=-26.923851 R=61.743595
b_r_middle3 X=273.860 Y=65.920 Z=26.022 P=80.695526 Y=-27.494219 R=51.335339
r_middle_finger_tip_marker X=273.397 Y=66.054 Z=23.570 P=80.695480 Y=-27.494284 R=51.335217
b_r_ring1 X=277.968 Y=63.606 Z=31.347 P=62.858967 Y=-2.220137 R=66.607933
b_r_ring2 X=276.191 Y=63.675 Z=27.877 P=71.249405 Y=-109.948883 R=-45.492470
b_r_ring3 X=276.482 Y=64.478 Z=25.360 P=56.165073 Y=-118.421852 R=-54.299904
r_ring_finger_tip_marker X=277.005 Y=65.597 Z=23.259 P=56.165066 Y=-118.421829 R=-54.299881
b_r_pinky0 X=283.430 Y=63.052 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=279.048 Y=61.847 Z=30.631 P=69.989616 Y=-3.721056 R=73.894020
b_r_pinky2 X=277.999 Y=61.915 Z=27.744 P=75.658012 Y=-157.957596 R=-92.640129
b_r_pinky3 X=278.465 Y=62.104 Z=25.776 P=67.853462 Y=-126.278801 R=-61.701466
r_pinky_finger_tip_marker X=278.838 Y=62.746 Z=23.710 P=67.853462 Y=-126.278801 R=-61.701481
