Right
013_apple X=270.449 Y=20.278 Z=141.237 P=-10.580017 Y=-15.530794 R=85.217583
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=288.845 Y=64.301 Z=30.844 P=34.433815 Y=154.801559 R=151.312973
b_r_thumb1 X=290.699 Y=63.428 Z=29.439 P=47.280006 Y=174.809647 R=-165.257370
b_r_thumb2 X=292.896 Y=63.229 Z=27.050 P=32.964779 Y=172.929367 R=173.106186
b_r_thumb3 X=295.710 Y=62.880 Z=25.212 P=46.900101 Y=145.045258 R=174.081818
r_thumb_finger_tip_marker X=297.079 Y=61.807 Z=23.469 P=46.900112 Y=145.045273 R=174.081802
b_r_index1 X=296.437 Y=62.994 Z=31.268 P=24.010532 Y=-175.699173 R=98.135880
b_r_index2 X=299.892 Y=63.254 Z=29.725 P=41.419167 Y=-172.682541 R=93.646584
b_r_index3 X=301.700 Y=63.486 Z=28.117 P=31.360258 Y=-166.018906 R=93.708748
r_index_finger_tip_marker X=303.600 Y=63.983 Z=27.042 P=31.360271 Y=-166.018890 R=93.708794
b_r_middle1 X=296.403 Y=65.177 Z=31.746 P=43.155602 Y=-171.568008 R=88.557358
b_r_middle2 X=299.500 Y=65.636 Z=28.809 P=65.359924 Y=-173.030640 R=84.527328
b_r_middle3 X=300.640 Y=65.775 Z=26.305 P=52.366158 Y=-168.828110 R=79.418152
r_middle_finger_tip_marker X=302.208 Y=66.137 Z=24.393 P=52.366169 Y=-168.828140 R=79.418144
b_r_ring1 X=295.708 Y=67.096 Z=31.347 P=48.541237 Y=-160.798782 R=76.864815
b_r_ring2 X=298.146 Y=67.945 Z=28.424 P=62.206093 Y=-170.605255 R=60.634388
b_r_ring3 X=299.368 Y=68.148 Z=26.074 P=60.608788 Y=174.233932 R=46.352024
r_ring_finger_tip_marker X=300.655 Y=68.148 Z=24.003 P=60.608788 Y=174.233902 R=46.352028
b_r_pinky0 X=290.246 Y=67.650 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=294.628 Y=68.855 Z=30.631 P=53.390106 Y=-177.274963 R=81.220932
b_r_pinky2 X=296.458 Y=68.942 Z=28.165 P=57.868404 Y=-161.562958 R=84.747917
b_r_pinky3 X=297.483 Y=69.284 Z=26.445 P=55.100010 Y=178.579361 R=68.568687
r_pinky_finger_tip_marker X=298.837 Y=69.272 Z=24.717 P=55.100010 Y=178.579361 R=68.568680
