Left
013_apple X=272.302 Y=12.664 Z=146.383 P=52.666965 Y=47.564648 R=-77.042084
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=284.831 Y=66.401 Z=30.844 P=34.313095 Y=-25.464382 R=151.067841
b_r_thumb1 X=282.978 Y=67.283 Z=29.443 P=56.973957 Y=-0.812143 R=-160.949326
b_r_thumb2 X=281.206 Y=67.309 Z=26.718 P=42.702293 Y=-5.567331 R=175.019455
b_r_thumb3 X=278.734 Y=67.549 Z=24.426 P=55.195526 Y=-3.284390 R=-163.518890
r_thumb_finger_tip_marker X=277.311 Y=67.749 Z=22.427 P=55.195522 Y=-3.284373 R=-163.518875
b_r_index1 X=277.239 Y=67.707 Z=31.268 P=10.329970 Y=5.404903 R=97.562683
b_r_index2 X=273.524 Y=67.356 Z=30.588 P=36.126122 Y=8.164869 R=92.432022
b_r_index3 X=271.581 Y=67.077 Z=29.155 P=35.933289 Y=15.163408 R=92.366714
r_index_finger_tip_marker X=269.781 Y=66.563 Z=27.927 P=35.933300 Y=15.163439 R=92.366730
b_r_middle1 X=277.273 Y=65.525 Z=31.746 P=21.067738 Y=8.278832 R=88.648422
b_r_middle2 X=273.309 Y=64.948 Z=30.202 P=50.801132 Y=6.531288 R=84.681557
b_r_middle3 X=271.579 Y=64.750 Z=28.067 P=40.119884 Y=9.104094 R=77.579582
r_middle_finger_tip_marker X=269.637 Y=64.383 Z=26.539 P=40.119884 Y=9.104080 R=77.579575
b_r_ring1 X=277.968 Y=63.606 Z=31.347 P=33.466881 Y=13.096643 R=77.466110
b_r_ring2 X=274.800 Y=62.869 Z=29.196 P=58.404724 Y=-3.580022 R=56.682739
b_r_ring3 X=273.410 Y=62.955 Z=26.933 P=56.671104 Y=-17.302097 R=44.130390
r_ring_finger_tip_marker X=272.020 Y=63.249 Z=24.952 P=56.671116 Y=-17.302137 R=44.130402
b_r_pinky0 X=283.430 Y=63.052 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=279.048 Y=61.847 Z=30.631 P=58.382256 Y=6.262688 R=80.981621
b_r_pinky2 X=277.447 Y=61.671 Z=28.015 P=79.438705 Y=19.838751 R=82.205215
b_r_pinky3 X=277.097 Y=61.545 Z=26.018 P=74.360146 Y=-26.865168 R=37.052578
r_pinky_finger_tip_marker X=276.453 Y=61.779 Z=23.932 P=74.360146 Y=-26.865168 R=37.052582
