Left
013_apple X=269.917 Y=11.366 Z=137.200 P=-46.984512 Y=125.713394 R=14.323514
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=284.831 Y=66.401 Z=30.844 P=28.980259 Y=-34.983360 R=142.374664
b_r_thumb1 X=283.050 Y=67.647 Z=29.640 P=50.337643 Y=-19.105547 R=-177.270874
b_r_thumb2 X=281.089 Y=68.327 Z=27.137 P=37.146851 Y=-11.972559 R=167.035126
b_r_thumb3 X=278.454 Y=68.885 Z=25.097 P=49.694275 Y=-30.695965 R=173.462357
r_thumb_finger_tip_marker X=277.083 Y=69.809 Z=23.272 P=49.694275 Y=-30.695948 R=173.462341
b_r_index1 X=277.239 Y=67.707 Z=31.268 P=34.381699 Y=-7.119360 R=97.059547
b_r_index2 X=274.133 Y=68.095 Z=29.126 P=71.048279 Y=-0.820901 R=95.945068
b_r_index3 X=273.343 Y=68.107 Z=26.828 P=66.705505 Y=13.309534 R=105.053902
r_index_finger_tip_marker X=272.388 Y=67.879 Z=24.816 P=66.705498 Y=13.309588 R=105.053970
b_r_middle1 X=277.273 Y=65.525 Z=31.746 P=33.464828 Y=5.120173 R=88.100044
b_r_middle2 X=273.707 Y=65.205 Z=29.378 P=73.686310 Y=-2.644149 R=78.412415
b_r_middle3 X=272.934 Y=65.241 Z=26.734 P=75.933350 Y=-10.055369 R=61.076710
r_middle_finger_tip_marker X=272.241 Y=65.280 Z=24.333 P=75.933357 Y=-10.055421 R=61.076683
b_r_ring1 X=277.968 Y=63.606 Z=31.347 P=41.538372 Y=14.602841 R=76.871971
b_r_ring2 X=275.144 Y=62.870 Z=28.761 P=72.763832 Y=-31.793997 R=27.069025
b_r_ring3 X=274.474 Y=63.285 Z=26.223 P=67.277008 Y=-72.851051 R=-12.873987
r_ring_finger_tip_marker X=274.070 Y=64.084 Z=23.956 P=67.276962 Y=-72.851036 R=-12.873979
b_r_pinky0 X=283.430 Y=63.052 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=279.048 Y=61.847 Z=30.631 P=60.958576 Y=4.189456 R=79.802673
b_r_pinky2 X=277.561 Y=61.738 Z=27.945 P=87.100510 Y=5.671214 R=68.912064
b_r_pinky3 X=277.458 Y=61.728 Z=25.916 P=76.794151 Y=-42.232784 R=21.585531
r_pinky_finger_tip_marker X=276.969 Y=62.031 Z=23.798 P=76.794136 Y=-42.232780 R=21.585524
