Right
013_apple X=261.078 Y=14.865 Z=144.428 P=34.620861 Y=55.763523 R=-31.312086
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=288.845 Y=64.301 Z=30.844 P=26.822889 Y=142.000977 R=139.662491
b_r_thumb1 X=290.592 Y=62.936 Z=29.723 P=52.706158 Y=155.606201 R=178.502838
b_r_thumb2 X=292.387 Y=62.122 Z=27.136 P=37.479122 Y=155.373764 R=158.077576
b_r_thumb3 X=294.824 Y=61.004 Z=25.080 P=45.744743 Y=126.758125 R=158.095398
r_thumb_finger_tip_marker X=295.838 Y=59.530 Z=23.389 P=45.744762 Y=126.758141 R=158.095383
b_r_index1 X=296.437 Y=62.994 Z=31.268 P=19.282825 Y=168.826309 R=95.353004
b_r_index2 X=299.949 Y=62.301 Z=30.016 P=40.532120 Y=170.611832 R=90.071831
b_r_index3 X=301.772 Y=61.999 Z=28.436 P=28.559731 Y=177.920425 R=90.397690
r_index_finger_tip_marker X=303.785 Y=61.955 Z=27.457 P=28.559731 Y=177.920456 R=90.397713
b_r_middle1 X=296.403 Y=65.177 Z=31.746 P=16.495008 Y=-175.716064 R=88.048241
b_r_middle2 X=300.507 Y=65.484 Z=30.527 P=36.033855 Y=-176.441284 R=84.932076
b_r_middle3 X=302.731 Y=65.623 Z=28.906 P=30.223463 Y=-175.632935 R=75.975471
r_middle_finger_tip_marker X=304.929 Y=65.848 Z=27.738 P=30.223469 Y=-175.632950 R=75.975464
b_r_ring1 X=295.708 Y=67.096 Z=31.347 P=59.340584 Y=-160.563416 R=74.513618
b_r_ring2 X=297.583 Y=67.758 Z=27.992 P=72.382690 Y=-177.651901 R=50.704010
b_r_ring3 X=298.386 Y=67.791 Z=25.460 P=69.410484 Y=160.711441 R=29.266365
r_ring_finger_tip_marker X=299.294 Y=67.635 Z=23.202 P=69.410469 Y=160.711426 R=29.266361
b_r_pinky0 X=290.246 Y=67.650 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=294.628 Y=68.855 Z=30.631 P=71.403488 Y=-172.602585 R=76.993004
b_r_pinky2 X=295.600 Y=68.981 Z=27.719 P=75.744705 Y=-139.858521 R=98.944954
b_r_pinky3 X=295.982 Y=69.304 Z=25.750 P=70.741959 Y=-177.445374 R=63.096218
r_pinky_finger_tip_marker X=296.816 Y=69.374 Z=23.720 P=70.741951 Y=-177.445374 R=63.096210
