Right
014_lemon X=282.681 Y=23.298 Z=137.911 P=-60.311100 Y=68.105919 R=49.341251
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=288.845 Y=64.301 Z=30.844 P=35.365940 Y=156.967224 R=153.312897
b_r_thumb1 X=290.710 Y=63.508 Z=29.406 P=47.558350 Y=177.848618 R=-162.513596
b_r_thumb2 X=292.902 Y=63.426 Z=27.007 P=33.260708 Y=174.370819 R=174.834824
b_r_thumb3 X=295.714 Y=63.148 Z=25.153 P=47.729317 Y=160.973618 R=-174.496094
r_thumb_finger_tip_marker X=297.283 Y=62.493 Z=23.372 P=47.729328 Y=160.973648 R=-174.496109
b_r_index1 X=296.437 Y=62.994 Z=31.268 P=30.937988 Y=-176.416885 R=98.594193
b_r_index2 X=299.684 Y=63.198 Z=29.318 P=54.675060 Y=-171.887527 R=95.518356
b_r_index3 X=301.075 Y=63.396 Z=27.335 P=45.787750 Y=-164.112274 R=97.566238
r_index_finger_tip_marker X=302.643 Y=63.859 Z=25.806 P=45.787739 Y=-164.112259 R=97.566254
b_r_middle1 X=296.403 Y=65.177 Z=31.746 P=37.932472 Y=-174.393478 R=88.129280
b_r_middle2 X=299.772 Y=65.508 Z=29.107 P=63.451431 Y=-176.709000 R=83.434464
b_r_middle3 X=301.001 Y=65.578 Z=26.642 P=53.467064 Y=-173.326233 R=77.321320
r_middle_finger_tip_marker X=302.554 Y=65.816 Z=24.698 P=53.467052 Y=-173.326248 R=77.321289
b_r_ring1 X=295.708 Y=67.096 Z=31.347 P=59.474701 Y=-153.711212 R=76.628304
b_r_ring2 X=297.483 Y=67.973 Z=27.988 P=79.238731 Y=114.197121 R=-21.149534
b_r_ring3 X=297.687 Y=67.521 Z=25.377 P=69.479965 Y=100.525108 R=-35.402588
r_ring_finger_tip_marker X=297.937 Y=66.809 Z=23.059 P=69.479942 Y=100.525116 R=-35.402554
b_r_pinky0 X=290.246 Y=67.650 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=294.628 Y=68.855 Z=30.631 P=69.728020 Y=-166.412842 R=79.831123
b_r_pinky2 X=295.663 Y=69.105 Z=27.749 P=84.784798 Y=-118.027054 R=116.506844
b_r_pinky3 X=295.749 Y=69.268 Z=25.726 P=80.351303 Y=147.659348 R=23.120703
r_pinky_finger_tip_marker X=296.173 Y=69.121 Z=23.577 P=80.351303 Y=147.659348 R=23.120695
