Left
014_lemon X=277.839 Y=6.294 Z=130.256 P=4.563434 Y=67.097900 R=-64.715904
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=284.831 Y=66.401 Z=30.844 P=34.928593 Y=-24.074907 R=152.349731
b_r_thumb1 X=282.971 Y=67.232 Z=29.421 P=41.915440 Y=-5.713286 R=-165.806488
b_r_thumb2 X=280.563 Y=67.473 Z=27.250 P=28.309958 Y=8.752028 R=-178.597870
b_r_thumb3 X=277.623 Y=67.020 Z=25.647 P=45.342300 Y=-9.904383 R=-170.668045
r_thumb_finger_tip_marker X=275.905 Y=67.434 Z=23.933 P=45.342300 Y=-9.904368 R=-170.668060
b_r_index1 X=277.239 Y=67.707 Z=31.268 P=26.736835 Y=7.798495 R=98.870155
b_r_index2 X=273.883 Y=67.248 Z=29.562 P=51.109638 Y=12.183938 R=95.459595
b_r_index3 X=272.391 Y=66.926 Z=27.670 P=39.939362 Y=19.156284 R=96.577766
r_index_finger_tip_marker X=270.714 Y=66.324 Z=26.315 P=39.939358 Y=19.156317 R=96.577766
b_r_middle1 X=277.273 Y=65.525 Z=31.746 P=33.803028 Y=6.982172 R=88.400681
b_r_middle2 X=273.733 Y=65.091 Z=29.357 P=64.499863 Y=3.963449 R=83.115410
b_r_middle3 X=272.550 Y=65.009 Z=26.871 P=54.696575 Y=7.459356 R=77.118187
r_middle_finger_tip_marker X=271.042 Y=64.756 Z=24.893 P=54.696564 Y=7.459327 R=77.118149
b_r_ring1 X=277.968 Y=63.606 Z=31.347 P=42.911602 Y=6.390607 R=75.027435
b_r_ring2 X=275.130 Y=63.288 Z=28.692 P=71.716171 Y=-38.168369 R=27.098518
b_r_ring3 X=274.475 Y=63.803 Z=26.169 P=66.201210 Y=-51.059132 R=14.106597
r_ring_finger_tip_marker X=273.723 Y=64.475 Z=23.949 P=66.201210 Y=-51.059162 R=14.106589
b_r_pinky0 X=283.430 Y=63.052 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=279.048 Y=61.847 Z=30.631 P=55.156994 Y=-1.281511 R=79.941681
b_r_pinky2 X=277.293 Y=61.886 Z=28.109 P=79.750351 Y=3.011699 R=71.868271
b_r_pinky3 X=276.932 Y=61.867 Z=26.111 P=73.601692 Y=-40.791512 R=29.615877
r_pinky_finger_tip_marker X=276.343 Y=62.251 Z=24.031 P=73.601692 Y=-40.791512 R=29.615877
