Right
014_lemon X=275.314 Y=17.608 Z=145.108 P=-40.903996 Y=-33.025921 R=140.632324
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=288.845 Y=64.301 Z=30.844 P=35.305401 Y=156.820038 R=153.176773
b_r_thumb1 X=290.709 Y=63.503 Z=29.408 P=52.086571 Y=179.985901 R=-160.493454
b_r_thumb2 X=292.707 Y=63.502 Z=26.843 P=37.230759 Y=168.464737 R=171.264923
b_r_thumb3 X=295.343 Y=62.964 Z=24.798 P=50.426563 Y=143.017410 R=172.678284
r_thumb_finger_tip_marker X=296.588 Y=61.910 Z=22.954 P=50.426563 Y=143.017410 R=172.678268
b_r_index1 X=296.437 Y=62.994 Z=31.268 P=54.730335 Y=-165.385620 R=104.784798
b_r_index2 X=298.556 Y=63.547 Z=28.172 P=68.766968 Y=-154.695969 R=108.174057
b_r_index3 X=299.352 Y=63.923 Z=25.906 P=56.553314 Y=-149.705658 R=108.756783
r_index_finger_tip_marker X=300.496 Y=64.586 Z=24.099 P=56.553299 Y=-149.705612 R=108.756813
b_r_middle1 X=296.403 Y=65.177 Z=31.746 P=58.215652 Y=-158.512405 R=91.279671
b_r_middle2 X=298.507 Y=66.005 Z=28.097 P=81.416718 Y=-155.889175 R=90.961746
b_r_middle3 X=298.882 Y=66.173 Z=25.372 P=66.114075 Y=-152.439346 R=85.772537
r_middle_finger_tip_marker X=299.850 Y=66.723 Z=23.135 P=66.114113 Y=-152.439423 R=85.772545
b_r_ring1 X=295.708 Y=67.096 Z=31.347 P=70.185387 Y=-148.869232 R=75.089355
b_r_ring2 X=296.839 Y=67.780 Z=27.678 P=79.778099 Y=95.052231 R=-47.798359
b_r_ring3 X=296.881 Y=67.310 Z=25.063 P=76.254158 Y=132.386627 R=-12.019593
r_ring_finger_tip_marker X=297.344 Y=67.027 Z=22.686 P=76.254135 Y=132.386612 R=-12.019571
b_r_pinky0 X=290.246 Y=67.650 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=294.628 Y=68.855 Z=30.631 P=82.091492 Y=-146.063599 R=83.641388
b_r_pinky2 X=294.979 Y=69.091 Z=27.588 P=82.437256 Y=-25.369566 R=-166.487900
b_r_pinky3 X=294.737 Y=69.206 Z=25.574 P=85.785538 Y=119.282036 R=-21.570383
r_pinky_finger_tip_marker X=294.912 Y=69.144 Z=23.387 P=85.785500 Y=119.282036 R=-21.570364
