Left
015_peach X=269.854 Y=10.572 Z=142.392 P=21.487684 Y=10.599491 R=-134.673157
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=30.093027 Y=-33.277145 R=143.919388
b_r_thumb1 X=258.390 Y=14.993 Z=29.598 P=48.263947 Y=-16.574615 R=-175.262589
b_r_thumb2 X=256.316 Y=15.611 Z=27.172 P=33.863064 Y=-15.654748 R=164.939377
b_r_thumb3 X=253.614 Y=16.368 Z=25.289 P=45.484787 Y=-38.796345 R=169.313614
r_thumb_finger_tip_marker X=252.278 Y=17.555 Z=23.595 P=45.484787 Y=-38.796322 R=169.313599
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=29.570347 Y=-3.005641 R=97.382431
b_r_index2 X=249.301 Y=15.293 Z=29.397 P=63.093533 Y=1.901489 R=94.738693
b_r_index3 X=248.202 Y=15.256 Z=27.229 P=59.872437 Y=13.170173 R=100.537163
r_index_finger_tip_marker X=247.022 Y=14.970 Z=25.348 P=59.872463 Y=13.170238 R=100.537247
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=50.066338 Y=1.680809 R=87.122414
b_r_middle2 X=249.876 Y=12.857 Z=28.454 P=87.168892 Y=-95.938492 R=-12.507673
b_r_middle3 X=249.890 Y=12.992 Z=25.702 P=84.403381 Y=-21.343254 R=52.528637
r_middle_finger_tip_marker X=249.563 Y=13.019 Z=23.225 P=84.403419 Y=-21.343426 R=52.528492
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=83.523697 Y=-67.495132 R=-17.193745
b_r_ring2 X=253.157 Y=11.425 Z=27.472 P=21.518810 Y=-129.676086 R=-85.328674
b_r_ring3 X=254.735 Y=13.327 Z=26.497 P=1.110828 Y=-124.383514 R=-85.521492
r_ring_finger_tip_marker X=256.117 Y=15.324 Z=26.288 P=1.110828 Y=-124.383476 R=-85.521469
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=84.182564 Y=-114.572876 R=-46.844967
b_r_pinky2 X=254.534 Y=9.542 Z=27.575 P=34.584824 Y=-152.456573 R=-98.979424
b_r_pinky3 X=256.017 Y=10.316 Z=26.422 P=15.673275 Y=-138.350113 R=-91.382240
r_pinky_finger_tip_marker X=257.555 Y=11.713 Z=25.712 P=15.673275 Y=-138.350113 R=-91.382240
