Right
015_peach X=273.542 Y=16.200 Z=133.264 P=-39.499123 Y=31.972530 R=99.692215
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=32.577698 Y=151.013123 R=147.831268
b_r_thumb1 X=266.033 Y=10.699 Z=29.506 P=52.545254 Y=171.141022 R=-168.272781
b_r_thumb2 X=267.987 Y=10.394 Z=26.925 P=38.583923 Y=173.659409 R=172.967896
b_r_thumb3 X=270.612 Y=10.102 Z=24.818 P=52.486000 Y=159.174271 R=-177.993439
r_thumb_finger_tip_marker X=272.022 Y=9.454 Z=22.906 P=52.485996 Y=159.174286 R=-177.993439
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=32.349030 Y=-178.807465 R=98.334389
b_r_index2 X=274.997 Y=10.474 Z=29.239 P=58.850075 Y=-173.804245 R=95.749763
b_r_index3 X=276.247 Y=10.609 Z=27.159 P=55.554886 Y=-163.909363 R=99.964188
r_index_finger_tip_marker X=277.543 Y=10.995 Z=25.375 P=55.554886 Y=-163.909317 R=99.964226
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=34.839096 Y=-165.784836 R=89.595856
b_r_middle2 X=275.174 Y=13.455 Z=29.293 P=76.647377 Y=-171.345505 R=81.625305
b_r_middle3 X=275.803 Y=13.550 Z=26.613 P=78.237366 Y=-178.225250 R=64.802574
r_middle_finger_tip_marker X=276.398 Y=13.645 Z=24.187 P=78.237465 Y=-178.225342 R=64.802589
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=53.058426 Y=-153.637802 R=77.979309
b_r_ring2 X=273.164 Y=15.549 Z=28.230 P=78.600838 Y=140.033768 R=6.433044
b_r_ring3 X=273.567 Y=15.212 Z=25.625 P=66.559494 Y=93.804314 R=-39.288132
r_ring_finger_tip_marker X=273.731 Y=14.365 Z=23.345 P=66.559448 Y=93.804314 R=-39.288071
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=66.871056 Y=-159.423126 R=82.934441
b_r_pinky2 X=271.114 Y=16.692 Z=27.806 P=83.945717 Y=-117.006081 R=113.218643
b_r_pinky3 X=271.212 Y=16.883 Z=25.786 P=78.222878 Y=170.516876 R=41.658733
r_pinky_finger_tip_marker X=271.761 Y=16.866 Z=23.660 P=78.222870 Y=170.516861 R=41.658730
