Right
016_pear X=270.088 Y=17.655 Z=141.105 P=-56.411674 Y=-159.084610 R=-65.686867
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=29.353685 Y=145.576538 R=142.880829
b_r_thumb1 X=265.988 Y=10.489 Z=29.626 P=48.525242 Y=161.659790 R=-176.761688
b_r_thumb2 X=268.032 Y=9.811 Z=27.190 P=34.624985 Y=165.118393 R=165.045288
b_r_thumb3 X=270.720 Y=9.097 Z=25.270 P=46.380474 Y=142.937927 R=169.825607
r_thumb_finger_tip_marker X=272.068 Y=7.967 Z=23.548 P=46.380486 Y=142.937943 R=169.825592
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=20.729227 Y=176.782700 R=96.753189
b_r_index2 X=275.335 Y=10.208 Z=29.926 P=32.994293 Y=178.940201 R=91.661201
b_r_index3 X=277.373 Y=10.170 Z=28.602 P=35.052776 Y=-174.258865 R=91.224083
r_index_finger_tip_marker X=279.251 Y=10.386 Z=27.402 P=35.052784 Y=-174.258835 R=91.224113
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=36.675877 Y=-173.266373 R=88.333832
b_r_middle2 X=275.178 Y=12.993 Z=29.182 P=57.982239 Y=-174.447006 R=84.640320
b_r_middle3 X=276.632 Y=13.134 Z=26.846 P=45.371529 Y=-170.959412 R=78.628906
r_middle_finger_tip_marker X=278.430 Y=13.474 Z=25.143 P=45.371536 Y=-170.959427 R=78.628899
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=51.060738 Y=-149.437073 R=79.470551
b_r_ring2 X=273.174 Y=15.755 Z=28.314 P=77.831329 Y=161.633743 R=25.101055
b_r_ring3 X=273.706 Y=15.578 Z=25.716 P=69.823792 Y=108.093102 R=-27.865236
r_ring_finger_tip_marker X=274.062 Y=14.909 Z=23.399 P=69.823769 Y=108.093124 R=-27.865204
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=68.656105 Y=-164.157639 R=80.938507
b_r_pinky2 X=271.060 Y=16.573 Z=27.769 P=76.472839 Y=-133.665543 R=100.117477
b_r_pinky3 X=271.388 Y=16.917 Z=25.795 P=75.193069 Y=179.016266 R=54.592976
r_pinky_finger_tip_marker X=272.059 Y=16.955 Z=23.704 P=75.193054 Y=179.016266 R=54.592957
