Left
016_pear X=273.567 Y=10.273 Z=146.893 P=-8.757101 Y=151.929871 R=90.412476
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=25.656797 Y=-39.494202 R=138.327408
b_r_thumb1 X=258.459 Y=15.238 Z=29.768 P=46.686958 Y=-26.613989 R=176.124115
b_r_thumb2 X=256.465 Y=16.237 Z=27.403 P=36.105766 Y=-9.759261 R=166.313171
b_r_thumb3 X=253.774 Y=16.700 Z=25.411 P=48.908802 Y=-17.328646 R=-179.218887
r_thumb_finger_tip_marker X=252.215 Y=17.295 Z=23.601 P=48.908802 Y=-17.328629 R=-179.218887
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=26.217270 Y=-1.279495 R=97.416428
b_r_index2 X=249.194 Y=15.196 Z=29.593 P=58.238438 Y=2.952667 R=94.045097
b_r_index3 X=247.916 Y=15.130 Z=27.526 P=58.589611 Y=13.855403 R=99.128052
r_index_finger_tip_marker X=246.700 Y=14.817 Z=25.673 P=58.589634 Y=13.855461 R=99.128113
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=26.546349 Y=4.120738 R=87.997513
b_r_middle2 X=248.800 Y=12.661 Z=29.827 P=66.350502 Y=-1.389228 R=80.722969
b_r_middle3 X=247.695 Y=12.688 Z=27.303 P=63.199455 Y=-0.853605 R=71.560844
r_middle_finger_tip_marker X=246.481 Y=12.641 Z=25.119 P=63.199463 Y=-0.853635 R=71.560822
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=28.060928 Y=11.788396 R=77.655609
b_r_ring2 X=249.956 Y=10.315 Z=29.513 P=64.688828 Y=-19.842770 R=44.356583
b_r_ring3 X=248.888 Y=10.701 Z=27.110 P=63.026470 Y=-42.090355 R=23.310335
r_ring_finger_tip_marker X=247.937 Y=11.347 Z=24.960 P=63.026428 Y=-42.090370 R=23.310318
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=51.920464 Y=14.347999 R=84.066307
b_r_pinky2 X=252.569 Y=8.790 Z=28.213 P=86.581894 Y=-3.839047 R=52.618126
b_r_pinky3 X=252.448 Y=8.798 Z=26.185 P=76.404938 Y=-69.362793 R=-11.798827
r_pinky_finger_tip_marker X=252.150 Y=9.236 Z=24.054 P=76.404938 Y=-69.362778 R=-11.798831
