Left
016_pear X=275.713 Y=5.731 Z=130.519 P=27.395096 Y=45.604591 R=-65.311020
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=23.165329 Y=-42.430225 R=135.727448
b_r_thumb1 X=258.501 Y=15.355 Z=29.867 P=50.756607 Y=-32.660347 R=171.644501
b_r_thumb2 X=256.770 Y=16.465 Z=27.349 P=39.682747 Y=-18.693432 R=160.801346
b_r_thumb3 X=254.306 Y=17.298 Z=25.191 P=51.692894 Y=-29.840611 R=172.369781
r_thumb_finger_tip_marker X=252.976 Y=18.169 Z=23.311 P=51.692894 Y=-29.840590 R=172.369766
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=31.625502 Y=7.093244 R=99.217918
b_r_index2 X=249.390 Y=14.721 Z=29.279 P=71.038071 Y=17.668005 R=101.558220
b_r_index3 X=248.638 Y=14.481 Z=26.981 P=67.480522 Y=31.682356 R=110.552078
r_index_finger_tip_marker X=247.821 Y=13.987 Z=24.956 P=67.480507 Y=31.682425 R=110.552147
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=42.777245 Y=11.725232 R=89.155930
b_r_middle2 X=249.545 Y=12.297 Z=28.830 P=81.248360 Y=2.584605 R=77.594978
b_r_middle3 X=249.126 Y=12.278 Z=26.107 P=83.055016 Y=-11.603896 R=53.385956
r_middle_finger_tip_marker X=248.741 Y=12.263 Z=23.638 P=83.054932 Y=-11.604023 R=53.385807
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=50.437271 Y=15.156949 R=75.519516
b_r_ring2 X=250.928 Y=10.369 Z=28.341 P=76.404770 Y=-53.593525 R=2.519422
b_r_ring3 X=250.557 Y=10.872 Z=25.758 P=66.088226 Y=-88.087410 R=-31.497030
r_ring_finger_tip_marker X=250.404 Y=11.756 Z=23.491 P=66.088173 Y=-88.087364 R=-31.496983
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=56.086243 Y=22.652935 R=85.423744
b_r_pinky2 X=252.823 Y=8.599 Z=28.081 P=87.040634 Y=-139.459885 R=-90.315567
b_r_pinky3 X=252.902 Y=8.667 Z=26.053 P=78.363625 Y=-63.929447 R=-14.637583
r_pinky_finger_tip_marker X=252.600 Y=9.004 Z=23.904 P=78.363670 Y=-63.929489 R=-14.637604
