Right
016_pear X=264.099 Y=2.165 Z=144.578 P=11.416606 Y=110.425568 R=80.702652
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=29.258671 Y=145.432922 R=142.750916
b_r_thumb1 X=265.987 Y=10.483 Z=29.630 P=54.849941 Y=162.067505 R=-175.908524
b_r_thumb2 X=267.768 Y=9.907 Z=26.971 P=40.791813 Y=164.957794 R=165.770187
b_r_thumb3 X=270.238 Y=9.243 Z=24.764 P=53.284843 Y=150.313126 R=174.488892
r_thumb_finger_tip_marker X=271.521 Y=8.401 Z=22.838 P=53.284843 Y=150.313126 R=174.488892
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=32.685833 Y=-179.853821 R=98.189766
b_r_index2 X=274.986 Y=10.415 Z=29.220 P=56.890392 Y=-175.337936 R=95.216675
b_r_index3 X=276.309 Y=10.523 Z=27.184 P=57.753624 Y=-164.642929 R=99.997009
r_index_finger_tip_marker X=277.543 Y=10.874 Z=25.349 P=57.753639 Y=-164.642883 R=99.997070
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=35.391285 Y=-173.841309 R=88.250946
b_r_middle2 X=275.238 Y=12.965 Z=29.259 P=71.493690 Y=-179.452713 R=80.527794
b_r_middle3 X=276.113 Y=12.973 Z=26.647 P=66.701225 Y=-177.394058 R=72.961945
r_middle_finger_tip_marker X=277.188 Y=13.085 Z=24.393 P=66.701248 Y=-177.394104 R=72.961937
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=38.294598 Y=-166.320221 R=77.085670
b_r_ring2 X=274.038 Y=15.232 Z=28.930 P=71.350998 Y=150.070618 R=30.557985
b_r_ring3 X=274.774 Y=14.809 Z=26.412 P=67.113457 Y=122.462181 R=3.624684
r_ring_finger_tip_marker X=275.411 Y=14.109 Z=24.165 P=67.113480 Y=122.462227 R=3.624688
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=50.772255 Y=-158.255783 R=85.858192
b_r_pinky2 X=271.789 Y=16.987 Z=28.251 P=76.383347 Y=-146.388611 R=84.426598
b_r_pinky3 X=272.187 Y=17.252 Z=26.277 P=74.096443 Y=166.808823 R=39.630184
r_pinky_finger_tip_marker X=272.880 Y=17.170 Z=24.195 P=74.096428 Y=166.808823 R=39.630184
