Right
017_orange X=276.595 Y=10.302 Z=154.604 P=-40.580677 Y=23.941851 R=96.842033
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=28.108412 Y=143.755219 R=141.237228
b_r_thumb1 X=265.969 Y=10.417 Z=29.674 P=47.937473 Y=158.712051 R=-179.318481
b_r_thumb2 X=267.999 Y=9.627 Z=27.260 P=35.552334 Y=169.220337 R=166.928177
b_r_thumb3 X=270.700 Y=9.112 Z=25.295 P=47.741776 Y=146.367645 R=170.896240
r_thumb_finger_tip_marker X=272.077 Y=8.087 Z=23.530 P=47.741776 Y=146.367645 R=170.896225
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=13.556539 Y=173.395508 R=95.868614
b_r_index2 X=275.456 Y=9.983 Z=30.379 P=39.911064 Y=175.330322 R=90.508545
b_r_index3 X=277.314 Y=9.831 Z=28.820 P=35.420879 Y=-177.384811 R=90.908142
r_index_finger_tip_marker X=279.193 Y=9.945 Z=27.608 P=35.420891 Y=-177.384766 R=90.908165
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=23.202097 Y=-176.637115 R=87.899055
b_r_middle2 X=275.698 Y=12.821 Z=30.054 P=64.045982 Y=177.989883 R=80.903236
b_r_middle3 X=276.903 Y=12.779 Z=27.577 P=57.420467 Y=-179.431717 R=73.839043
r_middle_finger_tip_marker X=278.331 Y=12.854 Z=25.528 P=57.420475 Y=-179.431747 R=73.839027
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=50.147541 Y=-151.818085 R=78.942314
b_r_ring2 X=273.267 Y=15.689 Z=28.353 P=78.265831 Y=143.447235 R=9.261656
b_r_ring3 X=273.701 Y=15.367 Z=25.751 P=67.410667 Y=98.214272 R=-35.486382
r_ring_finger_tip_marker X=273.934 Y=14.563 Z=23.461 P=67.410637 Y=98.214287 R=-35.486347
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=54.440491 Y=-151.484756 R=87.012367
b_r_pinky2 X=271.554 Y=17.121 Z=28.132 P=81.484459 Y=-132.267685 R=92.776962
b_r_pinky3 X=271.757 Y=17.343 Z=26.123 P=79.302399 Y=135.382706 R=2.100518
r_pinky_finger_tip_marker X=272.151 Y=17.123 Z=23.974 P=79.302399 Y=135.382706 R=2.100526
