Left
017_orange X=274.433 Y=0.765 Z=127.264 P=25.604616 Y=92.759407 R=-42.304115
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=25.179047 Y=-40.082989 R=137.803574
b_r_thumb1 X=258.467 Y=15.262 Z=29.787 P=57.308849 Y=-29.067976 R=175.078552
b_r_thumb2 X=256.932 Y=16.115 Z=27.051 P=46.210876 Y=-10.339083 R=168.911819
b_r_thumb3 X=254.631 Y=16.534 Z=24.611 P=58.860817 Y=-30.590082 R=172.144394
r_thumb_finger_tip_marker X=253.525 Y=17.296 Z=22.548 P=58.860847 Y=-30.590076 R=172.144379
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=20.157028 Y=-4.045719 R=96.587875
b_r_index2 X=249.044 Y=15.371 Z=29.961 P=55.885731 Y=-0.895514 R=92.245682
b_r_index3 X=247.681 Y=15.392 Z=27.949 P=59.024265 Y=9.902617 R=97.073845
r_index_finger_tip_marker X=246.461 Y=15.162 Z=26.086 P=59.024273 Y=9.902671 R=97.073891
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=40.740585 Y=11.928026 R=89.200226
b_r_middle2 X=249.448 Y=12.265 Z=28.944 P=81.260109 Y=2.163336 R=77.058792
b_r_middle3 X=249.029 Y=12.249 Z=26.221 P=80.421074 Y=-0.970412 R=64.092216
r_middle_finger_tip_marker X=248.525 Y=12.180 Z=23.774 P=80.421013 Y=-0.970503 R=64.092049
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=52.123611 Y=22.003193 R=76.948158
b_r_ring2 X=251.105 Y=10.121 Z=28.269 P=77.434662 Y=-36.234261 R=13.679965
b_r_ring3 X=250.639 Y=10.463 Z=25.675 P=67.879906 Y=-81.156097 R=-30.674761
r_ring_finger_tip_marker X=250.389 Y=11.253 Z=23.382 P=67.879875 Y=-81.156075 R=-30.674732
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=59.150391 Y=22.950607 R=85.067421
b_r_pinky2 X=252.954 Y=8.645 Z=27.993 P=82.779182 Y=47.218208 R=96.425858
b_r_pinky3 X=252.780 Y=8.458 Z=25.978 P=78.087036 Y=-20.614033 R=29.800192
r_pinky_finger_tip_marker X=252.249 Y=8.558 Z=23.850 P=78.087021 Y=-20.614023 R=29.800182
