Right
017_orange X=269.191 Y=-0.086 Z=134.261 P=-22.860628 Y=73.961502 R=64.981544
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=26.418673 Y=141.472977 R=139.190231
b_r_thumb1 X=265.942 Y=10.327 Z=29.739 P=55.370121 Y=154.431381 R=177.768143
b_r_thumb2 X=267.609 Y=9.530 Z=27.063 P=41.238312 Y=158.175430 R=160.159073
b_r_thumb3 X=269.968 Y=8.585 Z=24.836 P=52.991119 Y=145.122086 R=170.106033
r_thumb_finger_tip_marker X=271.186 Y=7.627 Z=22.922 P=52.991127 Y=145.122116 R=170.106033
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=18.136194 Y=-179.961929 R=97.125710
b_r_index2 X=275.398 Y=10.409 Z=30.088 P=41.686691 Y=-177.255402 R=92.286690
b_r_index3 X=277.211 Y=10.496 Z=28.471 P=39.874992 Y=-169.802780 R=93.018814
r_index_finger_tip_marker X=278.961 Y=10.836 Z=27.117 P=39.874992 Y=-169.802734 R=93.018837
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=32.078644 Y=-179.053970 R=87.447632
b_r_middle2 X=275.396 Y=12.650 Z=29.466 P=57.690964 Y=178.441101 R=82.775726
b_r_middle3 X=276.868 Y=12.609 Z=27.137 P=52.181244 Y=179.801270 R=74.465256
r_middle_finger_tip_marker X=278.479 Y=12.664 Z=25.227 P=52.181252 Y=179.801254 R=74.465240
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=56.250229 Y=-161.616287 R=75.044296
b_r_ring2 X=273.120 Y=15.192 Z=28.105 P=76.746414 Y=154.887543 R=25.838846
b_r_ring3 X=273.672 Y=14.933 Z=25.518 P=70.606407 Y=144.553116 R=14.995888
r_ring_finger_tip_marker X=274.437 Y=14.588 Z=23.229 P=70.606430 Y=144.553101 R=14.995893
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=61.197563 Y=-158.610504 R=84.327423
b_r_pinky2 X=271.363 Y=16.807 Z=27.939 P=73.378914 Y=-136.617752 R=94.173706
b_r_pinky3 X=271.785 Y=17.207 Z=25.992 P=72.296135 Y=-175.793976 R=57.150963
r_pinky_finger_tip_marker X=272.556 Y=17.309 Z=23.939 P=72.296158 Y=-175.793976 R=57.150978
