Right
017_orange X=272.556 Y=7.502 Z=131.330 P=-41.196404 Y=-40.446606 R=167.776581
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=24.160919 Y=138.704315 R=136.728516
b_r_thumb1 X=265.905 Y=10.217 Z=29.827 P=42.089851 Y=150.984100 R=173.687897
b_r_thumb2 X=268.015 Y=9.047 Z=27.648 P=29.141628 Y=157.808502 R=157.131607
b_r_thumb3 X=270.748 Y=7.932 Z=26.002 P=40.324970 Y=144.327087 R=168.925491
r_thumb_finger_tip_marker X=272.264 Y=6.735 Z=24.476 P=40.324970 Y=144.327087 R=168.925476
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=21.360821 Y=175.680527 R=96.609711
b_r_index2 X=275.316 Y=10.141 Z=29.887 P=51.971077 Y=178.608170 R=92.111168
b_r_index3 X=276.813 Y=10.105 Z=27.972 P=49.066681 Y=-172.593887 R=94.797607
r_index_finger_tip_marker X=278.341 Y=10.324 Z=26.351 P=49.066700 Y=-172.593842 R=94.797676
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=24.222397 Y=-169.272278 R=89.025497
b_r_middle2 X=275.605 Y=13.318 Z=29.984 P=54.578884 Y=-170.922440 R=85.027359
b_r_middle3 X=277.182 Y=13.570 Z=27.739 P=53.892567 Y=-172.021057 R=74.257195
r_middle_finger_tip_marker X=278.712 Y=13.846 Z=25.782 P=53.892555 Y=-172.021057 R=74.257164
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=46.092876 Y=-159.948730 R=77.454773
b_r_ring2 X=273.605 Y=15.436 Z=28.537 P=69.462143 Y=175.679230 R=47.879131
b_r_ring3 X=274.534 Y=15.366 Z=26.049 P=66.343498 Y=157.087479 R=29.665785
r_ring_finger_tip_marker X=275.541 Y=15.106 Z=23.844 P=66.343475 Y=157.087463 R=29.665771
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=61.514622 Y=-165.773529 R=82.335167
b_r_pinky2 X=271.405 Y=16.628 Z=27.931 P=75.874062 Y=-144.489563 R=91.516373
b_r_pinky3 X=271.808 Y=16.916 Z=25.961 P=70.645691 Y=179.188492 R=56.938847
r_pinky_finger_tip_marker X=272.644 Y=16.950 Z=23.931 P=70.645683 Y=179.188492 R=56.938850
