Left
017_orange X=274.604 Y=1.852 Z=134.341 P=-15.588567 Y=-151.523560 R=-4.887430
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=29.177877 Y=-34.688576 R=142.641068
b_r_thumb1 X=258.404 Y=15.048 Z=29.633 P=46.110031 Y=-18.930122 R=-177.455338
b_r_thumb2 X=256.271 Y=15.780 Z=27.290 P=32.872627 Y=-12.553220 R=165.989105
b_r_thumb3 X=253.501 Y=16.396 Z=25.455 P=44.070492 Y=-41.165981 R=167.103470
r_thumb_finger_tip_marker X=252.181 Y=17.664 Z=23.809 P=44.070511 Y=-41.165974 R=167.103470
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=23.828049 Y=-3.246102 R=96.933105
b_r_index2 X=249.131 Y=15.316 Z=29.736 P=48.439529 Y=-0.307216 R=92.475319
b_r_index3 X=247.519 Y=15.325 Z=27.917 P=49.809517 Y=8.405180 R=94.836143
r_index_finger_tip_marker X=246.015 Y=15.082 Z=26.277 P=49.809502 Y=8.405217 R=94.836143
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=28.696526 Y=6.139603 R=88.299423
b_r_middle2 X=248.886 Y=12.535 Z=29.684 P=67.115891 Y=1.211486 R=81.417015
b_r_middle3 X=247.815 Y=12.512 Z=27.146 P=74.899902 Y=-12.912040 R=57.290535
r_middle_finger_tip_marker X=247.087 Y=12.589 Z=24.756 P=74.899902 Y=-12.912091 R=57.290482
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=33.374966 Y=14.167500 R=77.671577
b_r_ring2 X=250.167 Y=10.221 Z=29.202 P=64.906258 Y=-12.927668 R=47.500599
b_r_ring3 X=249.069 Y=10.473 Z=26.795 P=65.871185 Y=-50.067410 R=12.393232
r_ring_finger_tip_marker X=248.301 Y=11.138 Z=24.579 P=65.871178 Y=-50.067432 R=12.393230
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=60.677834 Y=9.688361 R=81.318077
b_r_pinky2 X=252.921 Y=9.006 Z=27.952 P=83.475395 Y=26.825052 R=86.043114
b_r_pinky3 X=252.715 Y=8.902 Z=25.934 P=75.420547 Y=-23.022665 R=37.153202
r_pinky_finger_tip_marker X=252.093 Y=9.077 Z=23.836 P=75.420540 Y=-23.022665 R=37.153187
